PicFileName,TrgCol,TrgCol2,CSName,UCSName,SoundName,stimType,PreConditiong.thisRepN,PreConditiong.thisTrialN,PreConditiong.thisN,PreConditiong.thisIndex,Conditioning.thisRepN,Conditioning.thisTrialN,Conditioning.thisN,Conditioning.thisIndex,Extinction.thisRepN,Extinction.thisTrialN,Extinction.thisN,Extinction.thisIndex,InstrBkg.started,InstrBkg.stopped,TagFig.started,TagFig.stopped,InstrKeyResp.keys,InstrKeyResp.rt,InstrKeyResp.started,InstrKeyResp.stopped,precondBkg.started,precondBkg.stopped,imagePreCond.started,imagePreCond.stopped,BlankBkg.started,BlankBkg.stopped,InstrBkg2.started,InstrBkg2.stopped,TagFig2.started,TagFig2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,CSBkg.started,CSBkg.stopped,CS_image.started,CS_image.stopped,UCSBkg.started,UCSBkg.stopped,UCS_image.started,UCS_image.stopped,sound_1.started,sound_1.stopped,BlankBkg2.started,BlankBkg2.stopped,InstrBkg3.started,InstrBkg3.stopped,TagFig3.started,TagFig3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,ExtBkg.started,ExtBkg.stopped,Ext_image.started,Ext_image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,49.26521429999957,None,49.26521429999957,None,space,1.36284059999889,49.26521429999957,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222,001,2021_Aug_04_2336,FigureTest,2021.2.1,60.07918436513484,
PreCond1\CS-.PNG,0.4,0.1,,,,,0,0,0,6,,,,,,,,,,,,,,,,,50.650355599998875,None,50.650355599998875,51.647655299999315,51.66244509999888,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222,001,2021_Aug_04_2336,FigureTest,2021.2.1,60.07918436513484,
PreCond1\CS+.PNG,-0.1,-0.1,,,,,0,1,1,0,,,,,,,,,,,,,,,,,53.99503929999992,None,53.99503929999992,54.97841209999933,54.99398719999954,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222,001,2021_Aug_04_2336,FigureTest,2021.2.1,60.07918436513484,
PreCond1\CS+.PNG,-0.1,-0.1,,,,,0,2,2,1,,,,,,,,,,,,,,,,,57.04436589999932,None,57.04436589999932,58.027417699999205,58.044496399999844,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222,001,2021_Aug_04_2336,FigureTest,2021.2.1,60.07918436513484,
PreCond1\CS-.PNG,0.4,0.1,,,,,0,3,3,8,,,,,,,,,,,,,,,,,60.07786309999938,None,60.07786309999938,61.06157219999841,61.078240099999675,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222,001,2021_Aug_04_2336,FigureTest,2021.2.1,60.07918436513484,
PreCond1\CS+.PNG,-0.1,-0.1,,,,,0,4,4,2,,,,,,,,,,,,,,,,,63.227420499999425,None,63.227420499999425,64.21020379999936,64.22733749999861,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222,001,2021_Aug_04_2336,FigureTest,2021.2.1,60.07918436513484,
PreCond1\CS-.PNG,0.4,0.1,,,,,0,5,5,5,,,,,,,,,,,,,,,,,66.39315469999929,None,66.39315469999929,67.37808509999923,67.39374349999889,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222,001,2021_Aug_04_2336,FigureTest,2021.2.1,60.07918436513484,
PreCond1\CS-.PNG,0.4,0.1,,,,,0,6,6,9,,,,,,,,,,,,,,,,,69.51165189999847,None,69.51165189999847,70.49333919999845,70.52861349999876,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222,001,2021_Aug_04_2336,FigureTest,2021.2.1,60.07918436513484,
PreCond1\CS+.PNG,-0.1,-0.1,,,,,0,7,7,3,,,,,,,,,,,,,,,,,72.60905920000005,None,72.60905920000005,73.5926187999994,73.60988579999866,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222,001,2021_Aug_04_2336,FigureTest,2021.2.1,60.07918436513484,
PreCond1\CS-.PNG,0.4,0.1,,,,,0,8,8,7,,,,,,,,,,,,,,,,,75.72617249999894,None,75.72617249999894,76.70887349999975,76.72654609999881,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222,001,2021_Aug_04_2336,FigureTest,2021.2.1,60.07918436513484,
