PreCondName,TrgCol,ratingName_EN,ratingName_CN,CSName,UCSName,SoundName,ExtName,PreCond.thisRepN,PreCond.thisTrialN,PreCond.thisN,PreCond.thisIndex,RatingPreCond.thisRepN,RatingPreCond.thisTrialN,RatingPreCond.thisN,RatingPreCond.thisIndex,Cond.thisRepN,Cond.thisTrialN,Cond.thisN,Cond.thisIndex,RatingCond.thisRepN,RatingCond.thisTrialN,RatingCond.thisN,RatingCond.thisIndex,Extinction.thisRepN,Extinction.thisTrialN,Extinction.thisN,Extinction.thisIndex,InstrBkg.started,TagFig.started,InstrKeyResp.started,InstrKeyResp.keys,InstrKeyResp.rt,precondBkg.started,imagePreCond.started,imagePreCond.stopped,BlankBkg.started,BlankBkg.stopped,Bkg.started,image.started,Scale.started,Scale.response,Scale.rt,fearRating.keys,fearRating.rt,InstrBkg2.started,TagFig2.started,key_resp.started,key_resp.keys,key_resp.rt,CSBkg.started,CS_image.started,UCSBkg.started,UCS_image.started,sound_1.started,sound_1.stopped,UCSBkg.stopped,UCS_image.stopped,InstrBkg3.started,TagFig3.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,ExtBkg.started,Ext_image.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.722352834010962,18.722352834010962,18.722352834010962,space,17.704231000010623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Choaib,001,2022-12-24_13h09.04.319,FigureTest,2022.2.4,None,
Stimuli/CS+4.BMP,0.4,,,,,,,0,0,0,14,,,,,,,,,,,,,,,,,,,,,,36.837404334015446,36.837404334015446,42.74738379201153,42.76620762501261,46.87757412501378,,,,,,,,,,,,,,,,,,,,,,,,,,,,Choaib,001,2022-12-24_13h09.04.319,FigureTest,2022.2.4,None,
Stimuli/CS+3.BMP,-0.1,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,46.87757412501378,46.87757412501378,52.847822500014445,52.884234791999916,57.11037966699223,,,,,,,,,,,,,,,,,,,,,,,,,,,,Choaib,001,2022-12-24_13h09.04.319,FigureTest,2022.2.4,None,
Stimuli/CS+1.BMP,0.4,,,,,,,0,2,2,5,,,,,,,,,,,,,,,,,,,,,,57.11037966699223,57.11037966699223,63.081418375018984,63.11719187500421,67.42209158401238,,,,,,,,,,,,,,,,,,,,,,,,,,,,Choaib,001,2022-12-24_13h09.04.319,FigureTest,2022.2.4,None,
Stimuli/CS+1.BMP,0.4,,,,,,,0,3,3,8,,,,,,,,,,,,,,,,,,,,,,67.42209158401238,67.42209158401238,73.39845658399281,73.43430462499964,77.71831766699324,,,,,,,,,,,,,,,,,,,,,,,,,,,,Choaib,001,2022-12-24_13h09.04.319,FigureTest,2022.2.4,None,
Stimuli/CS+1.BMP,0.4,,,,,,,0,4,4,9,,,,,,,,,,,,,,,,,,,,,,77.71831766699324,77.71831766699324,83.6997004589939,83.7176271250064,87.91801837499952,,,,,,,,,,,,,,,,,,,,,,,,,,,,Choaib,001,2022-12-24_13h09.04.319,FigureTest,2022.2.4,None,
Stimuli/CS+3.BMP,-0.1,,,,,,,0,5,5,2,,,,,,,,,,,,,,,,,,,,,,87.91801837499952,87.91801837499952,93.88260208399151,93.91790304202004,98.00096787500661,,,,,,,,,,,,,,,,,,,,,,,,,,,,Choaib,001,2022-12-24_13h09.04.319,FigureTest,2022.2.4,None,
Stimuli/CS+3.BMP,-0.1,,,,,,,0,6,6,4,,,,,,,,,,,,,,,,,,,,,,98.00096787500661,98.00096787500661,103.96785849999287,104.00241720900522,108.2240806670161,,,,,,,,,,,,,,,,,,,,,,,,,,,,Choaib,001,2022-12-24_13h09.04.319,FigureTest,2022.2.4,None,
Stimuli/CS+4.BMP,0.4,,,,,,,0,7,7,12,,,,,,,,,,,,,,,,,,,,,,108.2240806670161,108.2240806670161,,114.21926954199444,118.40203024999937,,,,,,,,,,,,,,,,,,,,,,,,,,,,Choaib,001,2022-12-24_13h09.04.319,FigureTest,2022.2.4,None,
Stimuli/CS+4.BMP,0.4,,,,,,,0,8,8,13,,,,,,,,,,,,,,,,,,,,,,118.40203024999937,118.40203024999937,124.38317333400482,124.40241695899749,128.72995183401508,,,,,,,,,,,,,,,,,,,,,,,,,,,,Choaib,001,2022-12-24_13h09.04.319,FigureTest,2022.2.4,None,
