PicFileName,TrgCol,TrgCol2,CSName,UCSName,SoundName,PreConditiong.thisRepN,PreConditiong.thisTrialN,PreConditiong.thisN,PreConditiong.thisIndex,Conditioning.thisRepN,Conditioning.thisTrialN,Conditioning.thisN,Conditioning.thisIndex,InstrBkg.started,InstrBkg.stopped,TagFig.started,TagFig.stopped,InstrKeyResp.keys,InstrKeyResp.rt,InstrKeyResp.started,InstrKeyResp.stopped,precondBkg.started,precondBkg.stopped,imagePreCond.started,imagePreCond.stopped,BlankBkg.started,BlankBkg.stopped,InstrBkg2.started,InstrBkg2.stopped,TagFig2.started,TagFig2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,CSBkg.started,CSBkg.stopped,CS_image.started,CS_image.stopped,UCSBkg.started,UCSBkg.stopped,UCS_image.started,UCS_image.stopped,sound_1.started,sound_1.stopped,BlankBkg2.started,BlankBkg2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,46.938063800000236,None,46.938063800000236,None,space,21.573755899999014,46.938063800000236,None,,,,,,,,,,,,,,,,,,,,,,,,,,,aaaa,001,2021_Aug_05_0015,FigureTest,2021.2.1,60.14733691698228,
PreCond1\CS-.PNG,0.4,0.1,,,,0,0,0,9,,,,,,,,,,,,,68.53989949999959,None,68.53989949999959,None,69.53946680000081,None,,,,,,,,,,,,,,,,,,,,,aaaa,001,2021_Aug_05_0015,FigureTest,2021.2.1,60.14733691698228,
PreCond1\CS+.PNG,-0.1,-0.1,,,,0,1,1,4,,,,,,,,,,,,,71.60567919999994,None,71.60567919999994,72.58878900000127,72.60599660000116,None,,,,,,,,,,,,,,,,,,,,,aaaa,001,2021_Aug_05_0015,FigureTest,2021.2.1,60.14733691698228,
PreCond1\CS+.PNG,-0.1,-0.1,,,,0,2,2,2,,,,,,,,,,,,,74.7054618000002,None,74.7054618000002,75.68851200000063,75.7050861000007,None,,,,,,,,,,,,,,,,,,,,,aaaa,001,2021_Aug_05_0015,FigureTest,2021.2.1,60.14733691698228,
PreCond1\CS-.PNG,0.4,0.1,,,,0,3,3,8,,,,,,,,,,,,,77.7546751000009,None,77.7546751000009,78.73821860000135,78.75454440000067,None,,,,,,,,,,,,,,,,,,,,,aaaa,001,2021_Aug_05_0015,FigureTest,2021.2.1,60.14733691698228,
PreCond1\CS-.PNG,0.4,0.1,,,,0,4,4,7,,,,,,,,,,,,,80.78821609999977,None,80.78821609999977,81.77086190000045,81.78821170000083,None,,,,,,,,,,,,,,,,,,,,,aaaa,001,2021_Aug_05_0015,FigureTest,2021.2.1,60.14733691698228,
PreCond1\CS-.PNG,0.4,0.1,,,,0,5,5,5,,,,,,,,,,,,,83.85357920000024,None,83.85357920000024,84.83755329999985,84.85421409999981,None,,,,,,,,,,,,,,,,,,,,,aaaa,001,2021_Aug_05_0015,FigureTest,2021.2.1,60.14733691698228,
PreCond1\CS+.PNG,-0.1,-0.1,,,,0,6,6,0,,,,,,,,,,,,,87.13729930000045,None,87.13729930000045,88.12019529999998,88.13732420000088,None,,,,,,,,,,,,,,,,,,,,,aaaa,001,2021_Aug_05_0015,FigureTest,2021.2.1,60.14733691698228,
PreCond1\CS+.PNG,-0.1,-0.1,,,,0,7,7,1,,,,,,,,,,,,,90.20384999999987,None,90.20384999999987,91.1871014999997,91.20362660000137,None,,,,,,,,,,,,,,,,,,,,,aaaa,001,2021_Aug_05_0015,FigureTest,2021.2.1,60.14733691698228,
PreCond1\CS+.PNG,-0.1,-0.1,,,,0,8,8,3,,,,,,,,,,,,,93.55336880000141,None,93.55336880000141,94.53655430000072,94.55333210000026,None,,,,,,,,,,,,,,,,,,,,,aaaa,001,2021_Aug_05_0015,FigureTest,2021.2.1,60.14733691698228,
PreCond1\CS-.PNG,0.4,0.1,,,,0,9,9,6,,,,,,,,,,,,,96.85316260000036,None,96.85316260000036,97.83705329999975,97.8527138999998,None,,,,,,,,,,,,,,,,,,,,,aaaa,001,2021_Aug_05_0015,FigureTest,2021.2.1,60.14733691698228,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.96076300000095,None,99.96076300000095,None,space,4.7510220000003756,99.96076300000095,None,,,,,,,,,,,,,aaaa,001,2021_Aug_05_0015,FigureTest,2021.2.1,60.14733691698228,
,0.4,0.1,Cond1\CS-.PNG,Cond1\blank.png,Sound\2.wav,,,,,0,0,0,17,,,,,,,,,,,,,,,,,,,,,,,104.73777420000079,None,104.73777420000079,None,None,None,None,None,None,None,110.32092720000037,None,aaaa,001,2021_Aug_05_0015,FigureTest,2021.2.1,60.14733691698228,
,0.4,0.1,Cond1\CS-.PNG,Cond1\blank.png,Sound\2.wav,,,,,0,1,1,16,,,,,,,,,,,,,,,,,,,,,,,112.36846049999986,None,112.36846049999986,None,115.40456650000124,None,115.40456650000124,None,115.33478177999605,None,115.43517530000099,None,aaaa,001,2021_Aug_05_0015,FigureTest,2021.2.1,60.14733691698228,
,0.4,0.1,Cond1\CS-.PNG,Cond1\blank.png,Sound\2.wav,,,,,0,2,2,15,,,,,,,,,,,,,,,,,,,,,,,117.61743910000041,None,117.61743910000041,None,None,None,None,None,None,None,120.66888649999964,None,aaaa,001,2021_Aug_05_0015,FigureTest,2021.2.1,60.14733691698228,
,-0.1,-0.1,Cond1\CS+.PNG,Cond1\UCS.PNG,Sound\1.wav,,,,,0,3,3,7,,,,,,,,,,,,,,,,,,,,,,,122.98851079999986,None,122.98851079999986,None,125.0867212000012,None,125.0867212000012,None,125.0884653400004,None,126.00630890000139,None,aaaa,001,2021_Aug_05_0015,FigureTest,2021.2.1,60.14733691698228,
,-0.1,-0.1,Cond1\CS+.PNG,Cond1\UCS.PNG,Sound\1.wav,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,128.27269499999966,None,128.27269499999966,None,130.27239139999983,None,130.27239139999983,None,130.27268642000018,None,131.31616349999967,None,aaaa,001,2021_Aug_05_0015,FigureTest,2021.2.1,60.14733691698228,
,0.4,0.1,Cond1\CS-.PNG,Cond1\blank.png,Sound\2.wav,,,,,0,5,5,11,,,,,,,,,,,,,,,,,,,,,,,133.6051606000001,None,133.6051606000001,None,None,None,None,None,None,None,139.2834242000008,None,aaaa,001,2021_Aug_05_0015,FigureTest,2021.2.1,60.14733691698228,
,-0.1,-0.1,Cond1\CS+.PNG,Cond1\UCS.PNG,Sound\1.wav,,,,,0,6,6,8,,,,,,,,,,,,,,,,,,,,,,,141.54648850000012,None,141.54648850000012,None,143.64555500000097,None,143.64555500000097,None,143.64604984000073,None,144.58726209999986,None,aaaa,001,2021_Aug_05_0015,FigureTest,2021.2.1,60.14733691698228,
,-0.1,-0.1,Cond1\CS+.PNG,Cond1\UCS.PNG,Sound\1.wav,,,,,0,7,7,9,,,,,,,,,,,,,,,,,,,,,,,146.76505280000129,None,146.76505280000129,None,148.7653633000009,149.76465070000086,148.7653633000009,149.76465070000086,148.76547631999966,None,149.82046439999976,None,aaaa,001,2021_Aug_05_0015,FigureTest,2021.2.1,60.14733691698228,
,0.4,0.1,Cond1\CS-.PNG,Cond1\blank.png,Sound\2.wav,,,,,0,8,8,18,,,,,,,,,,,,,,,,,,,,,,,152.25058440000066,None,152.25058440000066,None,None,None,None,None,None,None,157.8729613000014,None,aaaa,001,2021_Aug_05_0015,FigureTest,2021.2.1,60.14733691698228,
,0.4,0.1,Cond1\CS-.PNG,Cond1\blank.png,Sound\2.wav,,,,,0,9,9,19,,,,,,,,,,,,,,,,,,,,,,,160.16701920000014,None,160.16701920000014,None,163.20632380000097,None,163.20632380000097,None,163.1327534799959,None,163.24142490000122,None,aaaa,001,2021_Aug_05_0015,FigureTest,2021.2.1,60.14733691698228,
,-0.1,-0.1,Cond1\CS+.PNG,Cond1\UCS.PNG,Sound\1.wav,,,,,0,10,10,6,,,,,,,,,,,,,,,,,,,,,,,165.67770550000023,None,165.67770550000023,None,167.77512990000105,None,167.77512990000105,None,167.77832013999944,None,168.76524380000046,None,aaaa,001,2021_Aug_05_0015,FigureTest,2021.2.1,60.14733691698228,
,0.4,0.1,Cond1\CS-.PNG,Cond1\blank.png,Sound\2.wav,,,,,0,11,11,13,,,,,,,,,,,,,,,,,,,,,,,170.82788319999963,None,170.82788319999963,None,None,None,None,None,None,None,176.42070299999978,None,aaaa,001,2021_Aug_05_0015,FigureTest,2021.2.1,60.14733691698228,
,-0.1,-0.1,Cond1\CS+.PNG,Cond1\UCS.PNG,Sound\1.wav,,,,,0,12,12,5,,,,,,,,,,,,,,,,,,,,,,,178.73615299999983,None,178.73615299999983,None,180.85070900000028,None,180.85070900000028,None,180.85141724000061,None,181.75531729999966,None,aaaa,001,2021_Aug_05_0015,FigureTest,2021.2.1,60.14733691698228,
,0,0,Cond1\CS+.PNG,Cond1\blank.png,Sound\2.wav,,,,,0,13,13,0,,,,,,,,,,,,,,,,,,,,,,,184.03681730000062,None,184.03681730000062,None,None,None,None,None,None,None,189.71851179999976,None,aaaa,001,2021_Aug_05_0015,FigureTest,2021.2.1,60.14733691698228,
,0.4,0.1,Cond1\CS-.PNG,Cond1\blank.png,Sound\2.wav,,,,,0,14,14,10,,,,,,,,,,,,,,,,,,,,,,,191.86807240000053,None,191.86807240000053,None,194.90881660000014,None,194.90881660000014,None,194.8505685999953,None,194.9320488000012,None,aaaa,001,2021_Aug_05_0015,FigureTest,2021.2.1,60.14733691698228,
,0,0,Cond1\CS+.PNG,Cond1\blank.png,Sound\2.wav,,,,,0,15,15,1,,,,,,,,,,,,,,,,,,,,,,,197.29843280000023,None,197.29843280000023,None,None,None,None,None,None,None,200.39964080000027,None,aaaa,001,2021_Aug_05_0015,FigureTest,2021.2.1,60.14733691698228,
,0.4,0.1,Cond1\CS-.PNG,Cond1\blank.png,Sound\2.wav,,,,,0,16,16,14,,,,,,,,,,,,,,,,,,,,,,,202.79006110000046,None,202.79006110000046,None,205.82126059999973,None,205.82126059999973,None,205.76977637999627,None,205.8501111000005,None,aaaa,001,2021_Aug_05_0015,FigureTest,2021.2.1,60.14733691698228,
,-0.1,-0.1,Cond1\CS+.PNG,Cond1\UCS.PNG,Sound\1.wav,,,,,0,17,17,3,,,,,,,,,,,,,,,,,,,,,,,208.0202186000006,None,208.0202186000006,None,210.14363080000112,None,210.14363080000112,None,210.13777895999957,None,211.09833790000084,None,aaaa,001,2021_Aug_05_0015,FigureTest,2021.2.1,60.14733691698228,
,-0.1,-0.1,Cond1\CS+.PNG,Cond1\UCS.PNG,Sound\1.wav,,,,,0,18,18,2,,,,,,,,,,,,,,,,,,,,,,,213.31989470000008,None,213.31989470000008,None,215.31918570000016,None,215.31918570000016,None,215.3195917199999,None,216.33038640000086,None,aaaa,001,2021_Aug_05_0015,FigureTest,2021.2.1,60.14733691698228,
