PreCondName,TrgCol,ratingName,CSName,UCSName,SoundName,ExtName,PreConditiong.thisRepN,PreConditiong.thisTrialN,PreConditiong.thisN,PreConditiong.thisIndex,Rating1.thisRepN,Rating1.thisTrialN,Rating1.thisN,Rating1.thisIndex,Conditioning.thisRepN,Conditioning.thisTrialN,Conditioning.thisN,Conditioning.thisIndex,Extinction.thisRepN,Extinction.thisTrialN,Extinction.thisN,Extinction.thisIndex,InstrBkg.started,InstrBkg.stopped,TagFig.started,TagFig.stopped,InstrKeyResp.keys,InstrKeyResp.rt,InstrKeyResp.started,InstrKeyResp.stopped,precondBkg.started,precondBkg.stopped,imagePreCond.started,imagePreCond.stopped,BlankBkg.started,BlankBkg.stopped,Bkg.started,Bkg.stopped,image.started,image.stopped,Scale.response,Scale.rt,Scale.started,Scale.stopped,InstrBkg2.started,InstrBkg2.stopped,TagFig2.started,TagFig2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,CSBkg.started,CSBkg.stopped,CS_image.started,CS_image.stopped,UCSBkg.started,UCSBkg.stopped,UCS_image.started,UCS_image.stopped,sound_1.started,sound_1.stopped,BlankBkg2.started,BlankBkg2.stopped,InstrBkg3.started,InstrBkg3.stopped,TagFig3.started,TagFig3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,ExtBkg.started,ExtBkg.stopped,Ext_image.started,Ext_image.stopped,ISIBkg.started,ISIBkg.stopped,InterSessInstrct.started,InterSessInstrct.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,42.19903250000061,None,42.19903250000061,None,space,1.0007364000011876,42.19903250000061,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aaaa,001,2021_Aug_05_1612,FigureTest,2021.2.1,59.893760447138675,
PreCondition\CS+.PNG,-0.1,,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,43.22772619999887,None,43.22772619999887,44.2243610000005,44.238502600001084,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aaaa,001,2021_Aug_05_1612,FigureTest,2021.2.1,59.893760447138675,
PreCondition\CS+.PNG,-0.1,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,46.32175709999865,None,46.32175709999865,47.30485079999926,47.32177159999992,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aaaa,001,2021_Aug_05_1612,FigureTest,2021.2.1,59.893760447138675,
PreCondition\CS-.PNG,0.4,,,,,,0,2,2,6,,,,,,,,,,,,,,,,,,,,,49.437946300000476,None,49.437946300000476,50.42133100000137,50.43836720000036,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aaaa,001,2021_Aug_05_1612,FigureTest,2021.2.1,59.893760447138675,
PreCondition\CS-.PNG,0.4,,,,,,0,3,3,5,,,,,,,,,,,,,,,,,,,,,52.61072799999965,None,52.61072799999965,53.60446299999967,53.621169300000474,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aaaa,001,2021_Aug_05_1612,FigureTest,2021.2.1,59.893760447138675,
PreCondition\CS+.PNG,-0.1,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,56.20419690000199,None,56.20419690000199,57.18989770000189,57.205289900000935,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aaaa,001,2021_Aug_05_1612,FigureTest,2021.2.1,59.893760447138675,
PreCondition\CS-.PNG,0.4,,,,,,0,5,5,9,,,,,,,,,,,,,,,,,,,,,59.47087599999941,None,59.47087599999941,60.45370030000049,60.47071390000201,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aaaa,001,2021_Aug_05_1612,FigureTest,2021.2.1,59.893760447138675,
PreCondition\CS+.PNG,-0.1,,,,,,0,6,6,3,,,,,,,,,,,,,,,,,,,,,62.54151280000224,None,62.54151280000224,63.536655100000644,63.553687499999796,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aaaa,001,2021_Aug_05_1612,FigureTest,2021.2.1,59.893760447138675,
PreCondition\CS-.PNG,0.4,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,65.92787949999911,None,65.92787949999911,66.92289480000181,66.93819129999974,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aaaa,001,2021_Aug_05_1612,FigureTest,2021.2.1,59.893760447138675,
PreCondition\CS-.PNG,0.4,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,69.23835640000107,None,69.23835640000107,70.21913889999996,70.25279380000211,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aaaa,001,2021_Aug_05_1612,FigureTest,2021.2.1,59.893760447138675,
