PicFileName,TrgCol,TrgCol2,CSName,UCSName,SoundName,PreConditiong.thisRepN,PreConditiong.thisTrialN,PreConditiong.thisN,PreConditiong.thisIndex,Conditioning.thisRepN,Conditioning.thisTrialN,Conditioning.thisN,Conditioning.thisIndex,InstrBkg.started,InstrBkg.stopped,TagFig.started,TagFig.stopped,InstrKeyResp.keys,InstrKeyResp.rt,InstrKeyResp.started,InstrKeyResp.stopped,precondBkg.started,precondBkg.stopped,imagePreCond.started,imagePreCond.stopped,BlankBkg.started,BlankBkg.stopped,InstrBkg2.started,InstrBkg2.stopped,TagFig2.started,TagFig2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,CSBkg.started,CSBkg.stopped,CS_image.started,CS_image.stopped,UCSBkg.started,UCSBkg.stopped,UCS_image.started,UCS_image.stopped,sound_1.started,sound_1.stopped,BlankBkg2.started,BlankBkg2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,47.8549280999996,None,47.8549280999996,None,space,1.9291646000001492,47.8549280999996,None,,,,,,,,,,,,,,,,,,,,,,,,,,,ddddd,001,2021_Aug_05_0010,FigureTest,2021.2.1,58.84107789806116,
PreCond1\CS-.PNG,0.4,0.1,,,,0,0,0,8,,,,,,,,,,,,,49.808708799999295,None,49.808708799999295,50.80022349999854,50.81731729999956,None,,,,,,,,,,,,,,,,,,,,,ddddd,001,2021_Aug_05_0010,FigureTest,2021.2.1,58.84107789806116,
PreCond1\CS+.PNG,-0.1,-0.1,,,,0,1,1,0,,,,,,,,,,,,,53.01743609999903,None,53.01743609999903,54.00059499999952,54.017423999999664,None,,,,,,,,,,,,,,,,,,,,,ddddd,001,2021_Aug_05_0010,FigureTest,2021.2.1,58.84107789806116,
PreCond1\CS+.PNG,-0.1,-0.1,,,,0,2,2,3,,,,,,,,,,,,,56.217104199999085,None,56.217104199999085,57.20007269999951,57.21711340000002,None,,,,,,,,,,,,,,,,,,,,,ddddd,001,2021_Aug_05_0010,FigureTest,2021.2.1,58.84107789806116,
PreCond1\CS-.PNG,0.4,0.1,,,,0,3,3,7,,,,,,,,,,,,,59.366797299999234,None,59.366797299999234,60.34990029999972,60.36633679999977,None,,,,,,,,,,,,,,,,,,,,,ddddd,001,2021_Aug_05_0010,FigureTest,2021.2.1,58.84107789806116,
PreCond1\CS+.PNG,-0.1,-0.1,,,,0,4,4,4,,,,,,,,,,,,,62.41589849999946,None,62.41589849999946,63.39932500000032,63.416231699999116,None,,,,,,,,,,,,,,,,,,,,,ddddd,001,2021_Aug_05_0010,FigureTest,2021.2.1,58.84107789806116,
PreCond1\CS+.PNG,-0.1,-0.1,,,,0,5,5,2,,,,,,,,,,,,,65.68248929999936,None,65.68248929999936,66.6653908999997,66.68230519999997,None,,,,,,,,,,,,,,,,,,,,,ddddd,001,2021_Aug_05_0010,FigureTest,2021.2.1,58.84107789806116,
PreCond1\CS-.PNG,0.4,0.1,,,,0,6,6,5,,,,,,,,,,,,,68.84911800000009,None,68.84911800000009,69.83274689999962,69.84849029999896,None,,,,,,,,,,,,,,,,,,,,,ddddd,001,2021_Aug_05_0010,FigureTest,2021.2.1,58.84107789806116,
PreCond1\CS-.PNG,0.4,0.1,,,,0,7,7,6,,,,,,,,,,,,,72.2320753999993,None,72.2320753999993,73.21570520000023,73.23177909999868,None,,,,,,,,,,,,,,,,,,,,,ddddd,001,2021_Aug_05_0010,FigureTest,2021.2.1,58.84107789806116,
PreCond1\CS-.PNG,0.4,0.1,,,,0,8,8,9,,,,,,,,,,,,,75.51452629999949,None,75.51452629999949,76.49827829999958,76.51578410000002,None,,,,,,,,,,,,,,,,,,,,,ddddd,001,2021_Aug_05_0010,FigureTest,2021.2.1,58.84107789806116,
