PreCondName,TrgCol,ratingName_EN,ratingName_CN,PreCond.thisRepN,PreCond.thisTrialN,PreCond.thisN,PreCond.thisIndex,RatingPreCond.thisRepN,RatingPreCond.thisTrialN,RatingPreCond.thisN,RatingPreCond.thisIndex,InstrBkg.started,TagFig.started,InstrKeyResp.started,InstrKeyResp.keys,InstrKeyResp.rt,precondBkg.started,imagePreCond.started,imagePreCond.stopped,BlankBkg.started,BlankBkg.stopped,Bkg.started,image.started,Scale.started,Scale.response,Scale.rt,fearRating.keys,fearRating.rt,InstrBkg2.started,TagFig2.started,key_resp.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,13.084708957998373,13.084708957998373,13.084708957998373,space,11.777297082997393,,,,,,,,,,,,,,,,dffdf,001,2022-12-16_06h07.05.569,FigureTest,2022.2.4,60.13613317281663,
Stimuli/CS+4.BMP,0.4,,,0,0,0,12,,,,,,,,,,24.960704416997032,24.960704416997032,30.89696549999644,30.916181583001162,35.315192666996154,,,,,,,,,,,dffdf,001,2022-12-16_06h07.05.569,FigureTest,2022.2.4,60.13613317281663,
Stimuli/CS+4.BMP,0.4,,,0,1,1,11,,,,,,,,,,35.315192666996154,35.315192666996154,41.280794250000326,41.315338249994966,45.426681375000044,,,,,,,,,,,dffdf,001,2022-12-16_06h07.05.569,FigureTest,2022.2.4,60.13613317281663,
Stimuli/CS+3.BMP,-0.1,,,0,2,2,3,,,,,,,,,,45.426681375000044,45.426681375000044,51.416519999998854,51.43053316699661,55.588760582999384,,,,,,,,,,,dffdf,001,2022-12-16_06h07.05.569,FigureTest,2022.2.4,60.13613317281663,
Stimuli/CS+3.BMP,-0.1,,,0,3,3,4,,,,,,,,,,55.588760582999384,55.588760582999384,,61.582995500000834,65.78639837499941,,,,,,,,,,,dffdf,001,2022-12-16_06h07.05.569,FigureTest,2022.2.4,60.13613317281663,
Stimuli/CS+1.BMP,0.4,,,0,4,4,8,,,,,,,,,,65.78639837499941,65.78639837499941,71.78272154199658,71.79833166699973,75.9729860419975,,,,,,,,,,,dffdf,001,2022-12-16_06h07.05.569,FigureTest,2022.2.4,60.13613317281663,
Stimuli/CS+3.BMP,-0.1,,,0,5,5,0,,,,,,,,,,75.9729860419975,75.9729860419975,81.96615349999774,81.98299491699436,86.31141399999615,,,,,,,,,,,dffdf,001,2022-12-16_06h07.05.569,FigureTest,2022.2.4,60.13613317281663,
Stimuli/CS+3.BMP,-0.1,,,0,6,6,1,,,,,,,,,,86.31141399999615,86.31141399999615,92.30051333300071,92.31631591699988,96.50309462499717,,,,,,,,,,,dffdf,001,2022-12-16_06h07.05.569,FigureTest,2022.2.4,60.13613317281663,
Stimuli/CS+4.BMP,0.4,,,0,7,7,10,,,,,,,,,,96.50309462499717,96.50309462499717,102.46740491699893,102.49921858299786,106.58636229200056,,,,,,,,,,,dffdf,001,2022-12-16_06h07.05.569,FigureTest,2022.2.4,60.13613317281663,
Stimuli/CS+1.BMP,0.4,,,0,8,8,6,,,,,,,,,,106.58636229200056,106.58636229200056,112.55154349999793,112.56839170799503,116.67415400000027,,,,,,,,,,,dffdf,001,2022-12-16_06h07.05.569,FigureTest,2022.2.4,60.13613317281663,
Stimuli/CS+1.BMP,0.4,,,0,9,9,5,,,,,,,,,,116.67415400000027,116.67415400000027,122.6503503749991,122.6854747499965,126.84628929199971,,,,,,,,,,,dffdf,001,2022-12-16_06h07.05.569,FigureTest,2022.2.4,60.13613317281663,
Stimuli/CS+1.BMP,0.4,,,0,10,10,9,,,,,,,,,,126.84628929199971,126.84628929199971,132.83598941699893,132.85018929199578,137.03874595800153,,,,,,,,,,,dffdf,001,2022-12-16_06h07.05.569,FigureTest,2022.2.4,60.13613317281663,
Stimuli/CS+3.BMP,-0.1,,,0,11,11,2,,,,,,,,,,137.03874595800153,137.03874595800153,143.03554504199565,143.05015558299783,147.3185529170005,,,,,,,,,,,dffdf,001,2022-12-16_06h07.05.569,FigureTest,2022.2.4,60.13613317281663,
Stimuli/CS+1.BMP,0.4,,,0,12,12,7,,,,,,,,,,147.3185529170005,147.3185529170005,153.30243466699903,153.31820541699562,157.46708020799997,,,,,,,,,,,dffdf,001,2022-12-16_06h07.05.569,FigureTest,2022.2.4,60.13613317281663,
Stimuli/CS+4.BMP,0.4,,,0,13,13,14,,,,,,,,,,157.46708020799997,157.46708020799997,163.4367186669988,163.45285475000128,167.65563783299876,,,,,,,,,,,dffdf,001,2022-12-16_06h07.05.569,FigureTest,2022.2.4,60.13613317281663,
Stimuli/CS+4.BMP,0.4,,,0,14,14,13,,,,,,,,,,167.65563783299876,167.65563783299876,,173.65242666699487,177.84307029200136,,,,,,,,,,,dffdf,001,2022-12-16_06h07.05.569,FigureTest,2022.2.4,60.13613317281663,
,-0.1,Instructions_EN/ratingCS+1.png,Instructions_CN/ratingCS+1.png,,,,,0,0,0,0,,,,,,,,,,,177.84307029200136,177.84307029200136,177.84307029200136,None,None,4,11.022920123999938,,,,dffdf,001,2022-12-16_06h07.05.569,FigureTest,2022.2.4,60.13613317281663,
,0.4,Instructions_EN/ratingCS+3.png,Instructions_CN/ratingCS+3.png,,,,,0,1,1,1,,,,,,,,,,,188.91209108299518,188.91209108299518,188.91209108299518,None,None,4,0.4834306659977301,,,,dffdf,001,2022-12-16_06h07.05.569,FigureTest,2022.2.4,60.13613317281663,
,-0.1,Instructions_EN/ratingCS+4.png,Instructions_CN/ratingCS+4.png,,,,,0,2,2,2,,,,,,,,,,,189.44130983299692,189.44130983299692,189.44130983299692,None,None,4,0.5459709579954506,,,,dffdf,001,2022-12-16_06h07.05.569,FigureTest,2022.2.4,60.13613317281663,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.03132604200073,190.03132604200073,190.03132604200073,,,,,,,
