PreCondName,TrgCol,ratingName,CSName,UCSName,SoundName,ExtName,PreConditiong.thisRepN,PreConditiong.thisTrialN,PreConditiong.thisN,PreConditiong.thisIndex,Rating1.thisRepN,Rating1.thisTrialN,Rating1.thisN,Rating1.thisIndex,Conditioning.thisRepN,Conditioning.thisTrialN,Conditioning.thisN,Conditioning.thisIndex,Rating2.thisRepN,Rating2.thisTrialN,Rating2.thisN,Rating2.thisIndex,Extinction.thisRepN,Extinction.thisTrialN,Extinction.thisN,Extinction.thisIndex,Rating3.thisRepN,Rating3.thisTrialN,Rating3.thisN,Rating3.thisIndex,InstrBkg.started,InstrBkg.stopped,TagFig.started,TagFig.stopped,InstrKeyResp.keys,InstrKeyResp.rt,InstrKeyResp.started,InstrKeyResp.stopped,precondBkg.started,precondBkg.stopped,imagePreCond.started,imagePreCond.stopped,BlankBkg.started,BlankBkg.stopped,Bkg.started,Bkg.stopped,image.started,image.stopped,Scale.response,Scale.rt,Scale.started,Scale.stopped,InstrBkg2.started,InstrBkg2.stopped,TagFig2.started,TagFig2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,CSBkg.started,CSBkg.stopped,CS_image.started,CS_image.stopped,UCSBkg.started,UCSBkg.stopped,UCS_image.started,UCS_image.stopped,sound_1.started,sound_1.stopped,InstrBkg3.started,InstrBkg3.stopped,TagFig3.started,TagFig3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,ExtBkg.started,ExtBkg.stopped,Ext_image.started,Ext_image.stopped,EndTxt.started,EndTxt.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.67756669999653,None,36.67756669999653,None,space,2.561309099997743,36.67756669999653,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,huangyz,001,2021_Aug_05_1741,FigureTest,2021.2.1,59.836992066234245,
PreCondition\CS+.PNG,-0.1,,,,,,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.258746799998335,None,39.258746799998335,45.256056299997,45.2700726999974,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,huangyz,001,2021_Aug_05_1741,FigureTest,2021.2.1,59.836992066234245,
PreCondition\CS+.PNG,-0.1,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.40312239999912,None,51.40312239999912,57.385396699999546,57.40176209999845,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,huangyz,001,2021_Aug_05_1741,FigureTest,2021.2.1,59.836992066234245,
PreCondition\CS+.PNG,-0.1,,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.60137109999778,None,63.60137109999778,69.58498489999693,69.60410109999793,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,huangyz,001,2021_Aug_05_1741,FigureTest,2021.2.1,59.836992066234245,
PreCondition\CS-.PNG,0.4,,,,,,0,3,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.73467679999885,None,75.73467679999885,81.71626439999818,81.75225099999807,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,huangyz,001,2021_Aug_05_1741,FigureTest,2021.2.1,59.836992066234245,
PreCondition\CS-.PNG,0.4,,,,,,0,4,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.0015519999979,None,88.0015519999979,93.98406069999692,93.99978559999727,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,huangyz,001,2021_Aug_05_1741,FigureTest,2021.2.1,59.836992066234245,
PreCondition\CS+.PNG,-0.1,,,,,,0,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.24760279999828,None,100.24760279999828,106.23136979999981,106.24728419999883,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,huangyz,001,2021_Aug_05_1741,FigureTest,2021.2.1,59.836992066234245,
PreCondition\CS-.PNG,0.4,,,,,,0,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.26337319999948,None,112.26337319999948,118.24904859999879,118.26444109999647,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,huangyz,001,2021_Aug_05_1741,FigureTest,2021.2.1,59.836992066234245,
PreCondition\CS-.PNG,0.4,,,,,,0,7,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.36211409999669,None,124.36211409999669,130.34561009999743,130.36215639999864,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,huangyz,001,2021_Aug_05_1741,FigureTest,2021.2.1,59.836992066234245,
PreCondition\CS+.PNG,-0.1,,,,,,0,8,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.68526929999643,None,136.68526929999643,142.67717189999894,142.69407169999977,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,huangyz,001,2021_Aug_05_1741,FigureTest,2021.2.1,59.836992066234245,
