PicFileName,TrgCol,TrgCol2,CSName,UCSName,SoundName,stimType,PreConditiong.thisRepN,PreConditiong.thisTrialN,PreConditiong.thisN,PreConditiong.thisIndex,Conditioning.thisRepN,Conditioning.thisTrialN,Conditioning.thisN,Conditioning.thisIndex,InstrBkg.started,InstrBkg.stopped,TagFig.started,TagFig.stopped,InstrKeyResp.keys,InstrKeyResp.rt,InstrKeyResp.started,InstrKeyResp.stopped,precondBkg.started,precondBkg.stopped,imagePreCond.started,imagePreCond.stopped,BlankBkg.started,BlankBkg.stopped,InstrBkg2.started,InstrBkg2.stopped,TagFig2.started,TagFig2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,CSBkg.started,CSBkg.stopped,CS_image.started,CS_image.stopped,UCSBkg.started,UCSBkg.stopped,UCS_image.started,UCS_image.stopped,sound_1.started,sound_1.stopped,BlankBkg2.started,BlankBkg2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,42.110502599998654,None,42.110502599998654,None,space,1.8590801999998803,42.110502599998654,None,,,,,,,,,,,,,,,,,,,,,,,,,,,hytgfhfg,001,2021_Aug_04_2358,FigureTest,2021.2.1,60.10879692208596,
PreCond1\CS-.PNG,0.4,0.1,,,,,0,0,0,7,,,,,,,,,,,,,43.999731499998234,None,43.999731499998234,44.99637659999826,45.01328839999951,None,,,,,,,,,,,,,,,,,,,,,hytgfhfg,001,2021_Aug_04_2358,FigureTest,2021.2.1,60.10879692208596,
PreCond1\CS+.PNG,-0.1,-0.1,,,,,0,1,1,2,,,,,,,,,,,,,47.329538899999534,None,47.329538899999534,48.31253799999831,48.32961660000001,None,,,,,,,,,,,,,,,,,,,,,hytgfhfg,001,2021_Aug_04_2358,FigureTest,2021.2.1,60.10879692208596,
PreCond1\CS-.PNG,0.4,0.1,,,,,0,2,2,8,,,,,,,,,,,,,50.57927019999988,None,50.57927019999988,51.563430599999265,51.57945999999902,None,,,,,,,,,,,,,,,,,,,,,hytgfhfg,001,2021_Aug_04_2358,FigureTest,2021.2.1,60.10879692208596,
PreCond1\CS+.PNG,-0.1,-0.1,,,,,0,3,3,1,,,,,,,,,,,,,53.69533989999945,None,53.69533989999945,54.679881599999135,54.69658139999956,None,,,,,,,,,,,,,,,,,,,,,hytgfhfg,001,2021_Aug_04_2358,FigureTest,2021.2.1,60.10879692208596,
PreCond1\CS+.PNG,-0.1,-0.1,,,,,0,4,4,0,,,,,,,,,,,,,56.91229539999949,None,56.91229539999949,57.89503269999841,57.911519399998724,None,,,,,,,,,,,,,,,,,,,,,hytgfhfg,001,2021_Aug_04_2358,FigureTest,2021.2.1,60.10879692208596,
PreCond1\CS+.PNG,-0.1,-0.1,,,,,0,5,5,3,,,,,,,,,,,,,60.19522329999927,None,60.19522329999927,61.17855049999889,61.19515609999871,None,,,,,,,,,,,,,,,,,,,,,hytgfhfg,001,2021_Aug_04_2358,FigureTest,2021.2.1,60.10879692208596,
PreCond1\CS-.PNG,0.4,0.1,,,,,0,6,6,5,,,,,,,,,,,,,63.29488499999934,None,63.29488499999934,64.27821529999892,64.29486129999896,None,,,,,,,,,,,,,,,,,,,,,hytgfhfg,001,2021_Aug_04_2358,FigureTest,2021.2.1,60.10879692208596,
PreCond1\CS-.PNG,0.4,0.1,,,,,0,7,7,9,,,,,,,,,,,,,66.71125089999987,None,66.71125089999987,67.69463499999983,67.71082999999999,None,,,,,,,,,,,,,,,,,,,,,hytgfhfg,001,2021_Aug_04_2358,FigureTest,2021.2.1,60.10879692208596,
PreCond1\CS+.PNG,-0.1,-0.1,,,,,0,8,8,4,,,,,,,,,,,,,69.79462239999884,None,69.79462239999884,70.77744469999925,70.79399099999864,None,,,,,,,,,,,,,,,,,,,,,hytgfhfg,001,2021_Aug_04_2358,FigureTest,2021.2.1,60.10879692208596,
PreCond1\CS-.PNG,0.4,0.1,,,,,0,9,9,6,,,,,,,,,,,,,73.06202939999821,None,73.06202939999821,74.04409809999925,74.06141639999987,None,,,,,,,,,,,,,,,,,,,,,hytgfhfg,001,2021_Aug_04_2358,FigureTest,2021.2.1,60.10879692208596,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.41473959999894,None,76.41473959999894,None,space,7.492231399999582,76.41473959999894,None,,,,,,,,,,,,,hytgfhfg,001,2021_Aug_04_2358,FigureTest,2021.2.1,60.10879692208596,
,-0.1,-0.1,Cond1\CS+.PNG,Cond1\UCS.PNG,Sound\1.wav,audio,,,,,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,83.93415999999888,None,83.93415999999888,None,85.94230919999973,None,85.94230919999973,None,85.94267127999883,None,86.98071429999982,None,hytgfhfg,001,2021_Aug_04_2358,FigureTest,2021.2.1,60.10879692208596,
,0.4,0.1,Cond1\CS-.PNG,Cond1\blank.png,Sound\2.wav,visual,,,,,0,1,1,19,,,,,,,,,,,,,,,,,,,,,,,89.00899379999828,None,89.00899379999828,None,None,None,None,None,None,None,94.68200649999926,None,hytgfhfg,001,2021_Aug_04_2358,FigureTest,2021.2.1,60.10879692208596,
,-0.1,-0.1,Cond1\CS+.PNG,Cond1\UCS.PNG,Sound\1.wav,audio,,,,,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,97.14137849999861,None,97.14137849999861,None,99.24287039999945,None,99.24287039999945,None,99.24443755999928,None,100.20667099999991,None,hytgfhfg,001,2021_Aug_04_2358,FigureTest,2021.2.1,60.10879692208596,
,0.4,0.1,Cond1\CS-.PNG,Cond1\blank.png,Sound\2.wav,visual,,,,,0,3,3,14,,,,,,,,,,,,,,,,,,,,,,,102.36243419999846,None,102.36243419999846,None,None,None,None,None,None,None,108.05748629999835,None,hytgfhfg,001,2021_Aug_04_2358,FigureTest,2021.2.1,60.10879692208596,
,-0.1,-0.1,Cond1\CS+.PNG,Cond1\UCS.PNG,Sound\1.wav,audio,,,,,0,4,4,5,,,,,,,,,,,,,,,,,,,,,,,110.14014999999927,None,110.14014999999927,None,112.24069259999851,None,112.24069259999851,None,112.2451508599992,None,113.14338859999953,None,hytgfhfg,001,2021_Aug_04_2358,FigureTest,2021.2.1,60.10879692208596,
,0.4,0.1,Cond1\CS-.PNG,Cond1\blank.png,Sound\2.wav,visual,,,,,0,5,5,10,,,,,,,,,,,,,,,,,,,,,,,115.20945719999872,None,115.20945719999872,None,None,None,None,None,None,None,120.88416189999953,None,hytgfhfg,001,2021_Aug_04_2358,FigureTest,2021.2.1,60.10879692208596,
,-0.1,-0.1,Cond1\CS+.PNG,Cond1\UCS.PNG,Sound\1.wav,audio,,,,,0,6,6,2,,,,,,,,,,,,,,,,,,,,,,,122.90195989999847,None,122.90195989999847,None,124.9987756999999,None,124.9987756999999,None,125.00445225999866,None,125.9951293999984,None,hytgfhfg,001,2021_Aug_04_2358,FigureTest,2021.2.1,60.10879692208596,
,0.4,0.1,Cond1\CS-.PNG,Cond1\blank.png,Sound\2.wav,visual,,,,,0,7,7,11,,,,,,,,,,,,,,,,,,,,,,,128.01132899999902,None,128.01132899999902,None,None,None,None,None,None,None,133.68261899999925,None,hytgfhfg,001,2021_Aug_04_2358,FigureTest,2021.2.1,60.10879692208596,
,-0.1,-0.1,Cond1\CS+.PNG,Cond1\UCS.PNG,Sound\1.wav,audio,,,,,0,8,8,4,,,,,,,,,,,,,,,,,,,,,,,135.86578349999945,None,135.86578349999945,None,137.9625533999988,None,137.9625533999988,None,137.9679855599992,None,138.89552729999923,None,hytgfhfg,001,2021_Aug_04_2358,FigureTest,2021.2.1,60.10879692208596,
,0.4,0.1,Cond1\CS-.PNG,Cond1\blank.png,Sound\2.wav,visual,,,,,0,9,9,13,,,,,,,,,,,,,,,,,,,,,,,141.08200439999928,None,141.08200439999928,None,None,None,None,None,None,None,146.72639399999935,None,hytgfhfg,001,2021_Aug_04_2358,FigureTest,2021.2.1,60.10879692208596,
,0.4,0.1,Cond1\CS-.PNG,Cond1\blank.png,Sound\2.wav,visual,,,,,0,10,10,18,,,,,,,,,,,,,,,,,,,,,,,149.04330669999945,None,149.04330669999945,None,None,None,None,None,None,None,152.06676059999882,None,hytgfhfg,001,2021_Aug_04_2358,FigureTest,2021.2.1,60.10879692208596,
