PreCondName,TrgCol,ratingName,CSName,UCSName,SoundName,ExtName,PreConditiong.thisRepN,PreConditiong.thisTrialN,PreConditiong.thisN,PreConditiong.thisIndex,Rating1.thisRepN,Rating1.thisTrialN,Rating1.thisN,Rating1.thisIndex,Conditioning.thisRepN,Conditioning.thisTrialN,Conditioning.thisN,Conditioning.thisIndex,Rating2.thisRepN,Rating2.thisTrialN,Rating2.thisN,Rating2.thisIndex,Extinction.thisRepN,Extinction.thisTrialN,Extinction.thisN,Extinction.thisIndex,Rating3.thisRepN,Rating3.thisTrialN,Rating3.thisN,Rating3.thisIndex,InstrBkg.started,InstrBkg.stopped,TagFig.started,TagFig.stopped,InstrKeyResp.keys,InstrKeyResp.rt,InstrKeyResp.started,InstrKeyResp.stopped,precondBkg.started,precondBkg.stopped,imagePreCond.started,imagePreCond.stopped,BlankBkg.started,BlankBkg.stopped,Bkg.started,Bkg.stopped,image.started,image.stopped,Scale.response,Scale.rt,Scale.started,Scale.stopped,InstrBkg2.started,InstrBkg2.stopped,TagFig2.started,TagFig2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,CSBkg.started,CSBkg.stopped,CS_image.started,CS_image.stopped,UCSBkg.started,UCSBkg.stopped,UCS_image.started,UCS_image.stopped,sound_1.started,sound_1.stopped,InstrBkg3.started,InstrBkg3.stopped,TagFig3.started,TagFig3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,ExtBkg.started,ExtBkg.stopped,Ext_image.started,Ext_image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.46371799998451,None,39.46371799998451,None,space,10.745648799987976,39.46371799998451,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1025,001,2021_Oct_25_1909,FigureTest,2021.2.1,59.800243257059016,
PreCondition\CS-.PNG,0.4,,,,,,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.25293890002649,None,50.25293890002649,None,56.25239959999453,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1025,001,2021_Oct_25_1909,FigureTest,2021.2.1,59.800243257059016,
PreCondition\CS-.PNG,0.4,,,,,,0,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.38493990001734,None,62.38493990001734,68.36847769998712,68.38512719998835,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1025,001,2021_Oct_25_1909,FigureTest,2021.2.1,59.800243257059016,
PreCondition\CS+.PNG,-0.1,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.63500240002759,None,74.63500240002759,80.633450000023,80.65040570002748,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1025,001,2021_Oct_25_1909,FigureTest,2021.2.1,59.800243257059016,
PreCondition\CS-.PNG,0.4,,,,,,0,3,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.76548870000988,None,86.76548870000988,92.74923060002038,92.76602969999658,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1025,001,2021_Oct_25_1909,FigureTest,2021.2.1,59.800243257059016,
PreCondition\CS+.PNG,-0.1,,,,,,0,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.03163089998998,None,99.03163089998998,105.014391899982,105.03105230000801,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1025,001,2021_Oct_25_1909,FigureTest,2021.2.1,59.800243257059016,
PreCondition\CS-.PNG,0.4,,,,,,0,5,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.19814150000457,None,111.19814150000457,117.196776900033,117.21284280001419,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1025,001,2021_Oct_25_1909,FigureTest,2021.2.1,59.800243257059016,
PreCondition\CS-.PNG,0.4,,,,,,0,6,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.6463201000006,None,123.6463201000006,129.6283259000047,129.66182229999686,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1025,001,2021_Oct_25_1909,FigureTest,2021.2.1,59.800243257059016,
PreCondition\CS+.PNG,-0.1,,,,,,0,7,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.86062659998424,None,135.86062659998424,141.84398790000705,141.86069649999263,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1025,001,2021_Oct_25_1909,FigureTest,2021.2.1,59.800243257059016,
PreCondition\CS+.PNG,-0.1,,,,,,0,8,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.00978070002748,None,148.00978070002748,153.99290610000025,154.00906180002494,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1025,001,2021_Oct_25_1909,FigureTest,2021.2.1,59.800243257059016,
