PreCondName,TrgCol,ratingName,CSName,UCSName,SoundName,ExtName,PreConditiong.thisRepN,PreConditiong.thisTrialN,PreConditiong.thisN,PreConditiong.thisIndex,Rating1.thisRepN,Rating1.thisTrialN,Rating1.thisN,Rating1.thisIndex,Conditioning.thisRepN,Conditioning.thisTrialN,Conditioning.thisN,Conditioning.thisIndex,Rating2.thisRepN,Rating2.thisTrialN,Rating2.thisN,Rating2.thisIndex,Extinction.thisRepN,Extinction.thisTrialN,Extinction.thisN,Extinction.thisIndex,InstrBkg.started,InstrBkg.stopped,TagFig.started,TagFig.stopped,InstrKeyResp.keys,InstrKeyResp.rt,InstrKeyResp.started,InstrKeyResp.stopped,precondBkg.started,precondBkg.stopped,imagePreCond.started,imagePreCond.stopped,BlankBkg.started,BlankBkg.stopped,Bkg.started,Bkg.stopped,image.started,image.stopped,Scale.response,Scale.rt,Scale.started,Scale.stopped,InstrBkg2.started,InstrBkg2.stopped,TagFig2.started,TagFig2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,CSBkg.started,CSBkg.stopped,CS_image.started,CS_image.stopped,UCSBkg.started,UCSBkg.stopped,UCS_image.started,UCS_image.stopped,sound_1.started,sound_1.stopped,InstrBkg3.started,InstrBkg3.stopped,TagFig3.started,TagFig3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,ExtBkg.started,ExtBkg.stopped,Ext_image.started,Ext_image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,67.8744515000144,None,67.8744515000144,None,space,21.103813100024126,67.8744515000144,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1026a,001,2021_Oct_26_1105,FigureTest,2021.2.1,59.970770240442064,
PreCondition\CS+1.BMP,-0.1,,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,89.02278140000999,None,89.02278140000999,None,95.0169590000296,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1026a,001,2021_Oct_26_1105,FigureTest,2021.2.1,59.970770240442064,
PreCondition\CS+1.BMP,-0.1,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,103.15012370003387,None,103.15012370003387,109.13281670003198,109.15204930002801,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1026a,001,2021_Oct_26_1105,FigureTest,2021.2.1,59.970770240442064,
PreCondition\CS-1.BMP,0.4,,,,,,0,2,2,10,,,,,,,,,,,,,,,,,,,,,,,,,117.35552600002848,None,117.35552600002848,123.34763760003261,123.36733830004232,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1026a,001,2021_Oct_26_1105,FigureTest,2021.2.1,59.970770240442064,
PreCondition\CS+1.BMP,-0.1,,,,,,0,3,3,5,,,,,,,,,,,,,,,,,,,,,,,,,131.5282206000411,None,131.5282206000411,137.5133010999998,137.532755799999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1026a,001,2021_Oct_26_1105,FigureTest,2021.2.1,59.970770240442064,
PreCondition\CS-1.BMP,0.4,,,,,,0,4,4,14,,,,,,,,,,,,,,,,,,,,,,,,,145.58691439998802,None,145.58691439998802,151.58053410000866,151.59613459999673,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1026a,001,2021_Oct_26_1105,FigureTest,2021.2.1,59.970770240442064,
PreCondition\CS+1.BMP,-0.1,,,,,,0,5,5,3,,,,,,,,,,,,,,,,,,,,,,,,,159.6855518000084,None,159.6855518000084,165.67723380000098,165.69425669999328,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1026a,001,2021_Oct_26_1105,FigureTest,2021.2.1,59.970770240442064,
PreCondition\CS-1.BMP,0.4,,,,,,0,6,6,13,,,,,,,,,,,,,,,,,,,,,,,,,173.85562470002333,None,173.85562470002333,179.84202849998837,179.85848250001436,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1026a,001,2021_Oct_26_1105,FigureTest,2021.2.1,59.970770240442064,
PreCondition\CS+1.BMP,-0.1,,,,,,0,7,7,0,,,,,,,,,,,,,,,,,,,,,,,,,188.04964189999737,None,188.04964189999737,None,194.04191379999975,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1026a,001,2021_Oct_26_1105,FigureTest,2021.2.1,59.970770240442064,
PreCondition\CS-1.BMP,0.4,,,,,,0,8,8,11,,,,,,,,,,,,,,,,,,,,,,,,,202.4025127000059,None,202.4025127000059,None,208.39098239998566,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1026a,001,2021_Oct_26_1105,FigureTest,2021.2.1,59.970770240442064,
