PreCondName,TrgCol,ratingName,CSName,UCSName,SoundName,ExtName,PreConditiong1.thisRepN,PreConditiong1.thisTrialN,PreConditiong1.thisN,PreConditiong1.thisIndex,RatingPreCond1.thisRepN,RatingPreCond1.thisTrialN,RatingPreCond1.thisN,RatingPreCond1.thisIndex,Conditioning1.thisRepN,Conditioning1.thisTrialN,Conditioning1.thisN,Conditioning1.thisIndex,RatingCond1.thisRepN,RatingCond1.thisTrialN,RatingCond1.thisN,RatingCond1.thisIndex,Extinction1.thisRepN,Extinction1.thisTrialN,Extinction1.thisN,Extinction1.thisIndex,Rating3.thisRepN,Rating3.thisTrialN,Rating3.thisN,Rating3.thisIndex,InstrBkg.started,InstrBkg.stopped,TagFig.started,TagFig.stopped,InstrKeyResp.keys,InstrKeyResp.rt,InstrKeyResp.started,InstrKeyResp.stopped,precondBkg.started,precondBkg.stopped,imagePreCond.started,imagePreCond.stopped,BlankBkg.started,BlankBkg.stopped,Bkg.started,Bkg.stopped,image.started,image.stopped,Scale.response,Scale.rt,Scale.started,Scale.stopped,InstrBkg2.started,InstrBkg2.stopped,TagFig2.started,TagFig2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,CSBkg.started,CSBkg.stopped,CS_image.started,CS_image.stopped,UCSBkg.started,UCSBkg.stopped,UCS_image.started,UCS_image.stopped,sound_1.started,sound_1.stopped,InstrBkg3.started,InstrBkg3.stopped,TagFig3.started,TagFig3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,ExtBkg.started,ExtBkg.stopped,Ext_image.started,Ext_image.stopped,EndTxt.started,EndTxt.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0964004000125,None,36.0964004000125,None,space,21.988721300003817,36.0964004000125,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1101,001,2021_Nov_01_1643,FigureTest,2021.2.1,59.6283010211765,
PreCondition\CS+1.BMP,-0.1,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.14113100001123,None,58.14113100001123,None,64.12955780001357,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1101,001,2021_Nov_01_1643,FigureTest,2021.2.1,59.6283010211765,
PreCondition\CS-1.BMP,0.4,,,,,,0,1,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.3398981000064,None,72.3398981000064,78.32576480001444,78.34260490001179,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1101,001,2021_Nov_01_1643,FigureTest,2021.2.1,59.6283010211765,
PreCondition\CS-1.BMP,0.4,,,,,,0,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.45817410000018,None,86.45817410000018,92.4440467999957,92.45802520000143,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1101,001,2021_Nov_01_1643,FigureTest,2021.2.1,59.6283010211765,
PreCondition\CS+1.BMP,-0.1,,,,,,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.73317650001263,None,100.73317650001263,None,106.72454809999908,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1101,001,2021_Nov_01_1643,FigureTest,2021.2.1,59.6283010211765,
PreCondition\CS-1.BMP,0.4,,,,,,0,4,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.87183910000022,None,114.87183910000022,None,120.87155989999883,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1101,001,2021_Nov_01_1643,FigureTest,2021.2.1,59.6283010211765,
PreCondition\CS+1.BMP,-0.1,,,,,,0,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.3467114000232,None,129.3467114000232,135.33830910001416,135.35369790002005,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1101,001,2021_Nov_01_1643,FigureTest,2021.2.1,59.6283010211765,
PreCondition\CS-1.BMP,0.4,,,,,,0,6,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.64825009999913,None,143.64825009999913,None,149.6373555000173,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1101,001,2021_Nov_01_1643,FigureTest,2021.2.1,59.6283010211765,
PreCondition\CS+1.BMP,-0.1,,,,,,0,7,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.84433880000142,None,157.84433880000142,163.83532530002412,163.85177460001432,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1101,001,2021_Nov_01_1643,FigureTest,2021.2.1,59.6283010211765,
PreCondition\CS+1.BMP,-0.1,,,,,,0,8,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.9502296000137,None,171.9502296000137,177.93317520001438,177.949374000018,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1101,001,2021_Nov_01_1643,FigureTest,2021.2.1,59.6283010211765,
PreCondition\CS-1.BMP,0.4,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.14607410001918,None,186.14607410001918,192.13169130001916,192.1483061000181,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1101,001,2021_Nov_01_1643,FigureTest,2021.2.1,59.6283010211765,
,-0.1,Rating\ratingCS+1.png,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.33917870000005,None,204.33917870000005,None,1.5312499999999996,31.888352199981455,204.33917870000005,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1101,001,2021_Nov_01_1643,FigureTest,2021.2.1,59.6283010211765,
,0.4,Rating\ratingCS-1.png,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.8760595000058,None,237.8760595000058,None,1.5781249999999996,1.074507099983748,237.8760595000058,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1101,001,2021_Nov_01_1643,FigureTest,2021.2.1,59.6283010211765,
