PreCondName,TrgCol,ratingName,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,PreCond1.thisRepN,PreCond1.thisTrialN,PreCond1.thisN,PreCond1.thisIndex,RatingPreCond1.thisRepN,RatingPreCond1.thisTrialN,RatingPreCond1.thisN,RatingPreCond1.thisIndex,InstrBkg.started,InstrBkg.stopped,TagFig.started,TagFig.stopped,InstrKeyResp.keys,InstrKeyResp.rt,InstrKeyResp.started,InstrKeyResp.stopped,precondBkg.started,precondBkg.stopped,imagePreCond.started,imagePreCond.stopped,BlankBkg.started,BlankBkg.stopped,Bkg.started,Bkg.stopped,image.started,image.stopped,Scale.response,Scale.rt,Scale.started,Scale.stopped,InstrBkg2.started,InstrBkg2.stopped,TagFig2.started,TagFig2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
PreCondition\CS+1.BMP,-0.1,,0,0,0,0,0,0,0,1,,,,,40.51635829999577,None,40.51635829999577,None,space,3.8587072000373155,40.51635829999577,None,44.43703049997566,None,44.43703049997566,None,46.41740129998652,None,,,,,,,,,,,,,,,,,hyz1102,001,2021_Nov_02_1106,FigureTest,2021.2.1,59.76811167496616,
PreCondition\CS+1.BMP,-0.1,,0,0,0,0,0,1,1,3,,,,,,,,,,,,,47.632781099993736,None,47.632781099993736,49.6166077000089,49.63266120001208,None,,,,,,,,,,,,,,,,,hyz1102,001,2021_Nov_02_1106,FigureTest,2021.2.1,59.76811167496616,
PreCondition\CS+1.BMP,-0.1,,0,0,0,0,0,2,2,0,,,,,,,,,,,,,50.767654500028584,None,50.767654500028584,52.765960499993525,52.78270330000669,None,,,,,,,,,,,,,,,,,hyz1102,001,2021_Nov_02_1106,FigureTest,2021.2.1,59.76811167496616,
PreCondition\CS-1.BMP,0.4,,0,0,0,0,0,3,3,7,,,,,,,,,,,,,53.91704919998301,None,53.91704919998301,None,55.91594089998398,None,,,,,,,,,,,,,,,,,hyz1102,001,2021_Nov_02_1106,FigureTest,2021.2.1,59.76811167496616,
PreCondition\CS+1.BMP,-0.1,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,57.004743699973915,None,57.004743699973915,None,58.99850659997901,None,,,,,,,,,,,,,,,,,hyz1102,001,2021_Nov_02_1106,FigureTest,2021.2.1,59.76811167496616,
PreCondition\CS-1.BMP,0.4,,0,0,0,0,0,5,5,8,,,,,,,,,,,,,60.38953390001552,None,60.38953390001552,62.381758700008504,62.39850780001143,None,,,,,,,,,,,,,,,,,hyz1102,001,2021_Nov_02_1106,FigureTest,2021.2.1,59.76811167496616,
PreCondition\CS-1.BMP,0.4,,0,0,0,0,0,6,6,5,,,,,,,,,,,,,63.58127850003075,None,63.58127850003075,65.56520299997646,65.58150139998179,None,,,,,,,,,,,,,,,,,hyz1102,001,2021_Nov_02_1106,FigureTest,2021.2.1,59.76811167496616,
PreCondition\CS-1.BMP,0.4,,0,0,0,0,0,7,7,6,,,,,,,,,,,,,67.03080280002905,None,67.03080280002905,69.01465620001545,69.03145270003006,None,,,,,,,,,,,,,,,,,hyz1102,001,2021_Nov_02_1106,FigureTest,2021.2.1,59.76811167496616,
PreCondition\CS-1.BMP,0.4,,0,0,0,0,0,8,8,9,,,,,,,,,,,,,70.28064180002548,None,70.28064180002548,72.26535040000454,72.28110600000946,None,,,,,,,,,,,,,,,,,hyz1102,001,2021_Nov_02_1106,FigureTest,2021.2.1,59.76811167496616,
PreCondition\CS+1.BMP,-0.1,,0,0,0,0,0,9,9,2,,,,,,,,,,,,,73.45910580002237,None,73.45910580002237,75.44623659999343,75.4634667999926,None,,,,,,,,,,,,,,,,,hyz1102,001,2021_Nov_02_1106,FigureTest,2021.2.1,59.76811167496616,
,-0.1,Rating\ratingCS+1.png,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,80.79439980001189,None,80.79439980001189,None,1.6171875,4.933288700005505,80.79439980001189,None,,,,,,,,,hyz1102,001,2021_Nov_02_1106,FigureTest,2021.2.1,59.76811167496616,
,0.4,Rating\ratingCS-1.png,0,0,0,0,,,,,0,1,1,1,,,,,,,,,,,,,,,87.2996576000005,None,87.2996576000005,None,1.6249999999999993,1.6210780999972485,87.2996576000005,None,,,,,,,,,hyz1102,001,2021_Nov_02_1106,FigureTest,2021.2.1,59.76811167496616,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.7455035999883,None,88.7455035999883,None,space,8.221043900004588,88.7455035999883,None,,,,,,,
