PreCondName,TrgCol,ratingName,CSName,UCSName,SoundName,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,PreCond1.thisRepN,PreCond1.thisTrialN,PreCond1.thisN,PreCond1.thisIndex,RatingPreCond1.thisRepN,RatingPreCond1.thisTrialN,RatingPreCond1.thisN,RatingPreCond1.thisIndex,Cond1.thisRepN,Cond1.thisTrialN,Cond1.thisN,Cond1.thisIndex,RatingCond1.thisRepN,RatingCond1.thisTrialN,RatingCond1.thisN,RatingCond1.thisIndex,InstrBkg.started,InstrBkg.stopped,TagFig.started,TagFig.stopped,InstrKeyResp.keys,InstrKeyResp.rt,InstrKeyResp.started,InstrKeyResp.stopped,precondBkg.started,precondBkg.stopped,imagePreCond.started,imagePreCond.stopped,BlankBkg.started,BlankBkg.stopped,Bkg.started,Bkg.stopped,image.started,image.stopped,Scale.response,Scale.rt,Scale.started,Scale.stopped,InstrBkg2.started,InstrBkg2.stopped,TagFig2.started,TagFig2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,CSBkg.started,CSBkg.stopped,CS_image.started,CS_image.stopped,UCSBkg.started,UCSBkg.stopped,UCS_image.started,UCS_image.stopped,sound_1.started,sound_1.stopped,participant,session,date,expName,psychopyVersion,frameRate,
PreCondition\CS-1.BMP,0.4,,,,,0,0,0,0,0,0,0,5,,,,,,,,,,,,,35.386204099981114,None,35.386204099981114,None,space,1.5601848000078462,35.386204099981114,None,36.985227299970575,None,36.985227299970575,None,38.98231230000965,None,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1102,001,2021_Nov_02_1133,FigureTest,2021.2.1,59.92042568263299,
PreCondition\CS-1.BMP,0.4,,,,,0,0,0,0,0,1,1,6,,,,,,,,,,,,,,,,,,,,,40.314667299971916,None,40.314667299971916,42.300234799971804,42.31619599997066,None,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1102,001,2021_Nov_02_1133,FigureTest,2021.2.1,59.92042568263299,
PreCondition\CS+1.BMP,-0.1,,,,,0,0,0,0,0,2,2,1,,,,,,,,,,,,,,,,,,,,,43.445131800021045,None,43.445131800021045,45.43136799999047,45.44762819999596,None,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1102,001,2021_Nov_02_1133,FigureTest,2021.2.1,59.92042568263299,
PreCondition\CS+1.BMP,-0.1,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,46.86642069998197,None,46.86642069998197,48.86415380000835,48.88080440001795,None,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1102,001,2021_Nov_02_1133,FigureTest,2021.2.1,59.92042568263299,
PreCondition\CS-1.BMP,0.4,,,,,0,0,0,0,0,4,4,8,,,,,,,,,,,,,,,,,,,,,50.17480729997624,None,50.17480729997624,52.16390859999228,52.180770299979486,None,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1102,001,2021_Nov_02_1133,FigureTest,2021.2.1,59.92042568263299,
PreCondition\CS+1.BMP,-0.1,,,,,0,0,0,0,0,5,5,2,,,,,,,,,,,,,,,,,,,,,53.44248039997183,None,53.44248039997183,55.430289099982474,55.447011600015685,None,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1102,001,2021_Nov_02_1133,FigureTest,2021.2.1,59.92042568263299,
PreCondition\CS+1.BMP,-0.1,,,,,0,0,0,0,0,6,6,0,,,,,,,,,,,,,,,,,,,,,56.72981869999785,None,56.72981869999785,58.71318329998758,58.72968599997694,None,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1102,001,2021_Nov_02_1133,FigureTest,2021.2.1,59.92042568263299,
PreCondition\CS-1.BMP,0.4,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,59.88411649997579,None,59.88411649997579,None,61.879449100000784,None,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1102,001,2021_Nov_02_1133,FigureTest,2021.2.1,59.92042568263299,
PreCondition\CS-1.BMP,0.4,,,,,0,0,0,0,0,8,8,9,,,,,,,,,,,,,,,,,,,,,63.081277399964165,None,63.081277399964165,65.07953210000414,65.09576709999237,None,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1102,001,2021_Nov_02_1133,FigureTest,2021.2.1,59.92042568263299,
PreCondition\CS+1.BMP,-0.1,,,,,0,0,0,0,0,9,9,4,,,,,,,,,,,,,,,,,,,,,66.21498350001639,None,66.21498350001639,None,68.21285650000209,None,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1102,001,2021_Nov_02_1133,FigureTest,2021.2.1,59.92042568263299,
,-0.1,Rating\ratingCS+1.png,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,73.28758230002131,None,73.28758230002131,None,1.4999999999999998,2.724865399999544,73.28758230002131,None,,,,,,,,,,,,,,,,,,,hyz1102,001,2021_Nov_02_1133,FigureTest,2021.2.1,59.92042568263299,
,0.4,Rating\ratingCS-1.png,,,,0,0,0,0,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,77.45884370000567,None,77.45884370000567,None,1.5703125000000002,1.4085669000050984,77.45884370000567,None,,,,,,,,,,,,,,,,,,,hyz1102,001,2021_Nov_02_1133,FigureTest,2021.2.1,59.92042568263299,
