PreCondName,TrgCol,ratingName,CSName,UCSName,SoundName,ExtName,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,PreCond.thisRepN,PreCond.thisTrialN,PreCond.thisN,PreCond.thisIndex,RatingPreCond.thisRepN,RatingPreCond.thisTrialN,RatingPreCond.thisN,RatingPreCond.thisIndex,Cond.thisRepN,Cond.thisTrialN,Cond.thisN,Cond.thisIndex,RatingCond.thisRepN,RatingCond.thisTrialN,RatingCond.thisN,RatingCond.thisIndex,Extinction1.thisRepN,Extinction1.thisTrialN,Extinction1.thisN,Extinction1.thisIndex,Rating3.thisRepN,Rating3.thisTrialN,Rating3.thisN,Rating3.thisIndex,InstrBkg.started,InstrBkg.stopped,TagFig.started,TagFig.stopped,InstrKeyResp.keys,InstrKeyResp.rt,InstrKeyResp.started,InstrKeyResp.stopped,precondBkg.started,precondBkg.stopped,imagePreCond.started,imagePreCond.stopped,BlankBkg.started,BlankBkg.stopped,Bkg.started,Bkg.stopped,image.started,image.stopped,Scale.response,Scale.rt,Scale.started,Scale.stopped,InstrBkg2.started,InstrBkg2.stopped,TagFig2.started,TagFig2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,CSBkg.started,CSBkg.stopped,CS_image.started,CS_image.stopped,UCSBkg.started,UCSBkg.stopped,UCS_image.started,UCS_image.stopped,sound_1.started,sound_1.stopped,InstrBkg3.started,InstrBkg3.stopped,TagFig3.started,TagFig3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,ExtBkg.started,ExtBkg.stopped,Ext_image.started,Ext_image.stopped,EndTxt.started,EndTxt.stopped,participant,session,date,expName,psychopyVersion,frameRate,
PreCondition\CS-1.BMP,0.4,,,,,,0,0,0,0,0,0,0,9,,,,,,,,,,,,,,,,,,,,,34.50200490001589,None,34.50200490001589,None,space,45.095893300022,34.50200490001589,None,79.64555430004839,None,79.64555430004839,None,81.6446412000223,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1102,001,2021_Nov_02_1458,FigureTest,2021.2.1,60.05241375433173,
PreCondition\CS+1.BMP,-0.1,,,,,,0,0,0,0,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.89045690000057,None,82.89045690000057,84.87749190005707,84.89398160000565,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1102,001,2021_Nov_02_1458,FigureTest,2021.2.1,60.05241375433173,
PreCondition\CS-1.BMP,0.4,,,,,,0,0,0,0,0,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.10463549999986,None,86.10463549999986,88.0947161000222,88.11153980001109,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1102,001,2021_Nov_02_1458,FigureTest,2021.2.1,60.05241375433173,
PreCondition\CS-1.BMP,0.4,,,,,,0,0,0,0,0,3,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.36434640001971,None,89.36434640001971,91.36149310000474,91.37813280004775,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1102,001,2021_Nov_02_1458,FigureTest,2021.2.1,60.05241375433173,
PreCondition\CS-1.BMP,0.4,,,,,,0,0,0,0,0,4,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.49350890005007,None,92.49350890005007,94.47783870005514,94.49454949999927,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1102,001,2021_Nov_02_1458,FigureTest,2021.2.1,60.05241375433173,
PreCondition\CS+1.BMP,-0.1,,,,,,0,0,0,0,0,5,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.81537300004857,None,95.81537300004857,None,97.81038290000288,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1102,001,2021_Nov_02_1458,FigureTest,2021.2.1,60.05241375433173,
PreCondition\CS+1.BMP,-0.1,,,,,,0,0,0,0,0,6,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.8959809000371,None,98.8959809000371,100.89302120002685,100.90966170001775,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1102,001,2021_Nov_02_1458,FigureTest,2021.2.1,60.05241375433173,
PreCondition\CS+1.BMP,-0.1,,,,,,0,0,0,0,0,7,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.95980420004344,None,101.95980420004344,103.94355980004184,103.96041860000696,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1102,001,2021_Nov_02_1458,FigureTest,2021.2.1,60.05241375433173,
PreCondition\CS+1.BMP,-0.1,,,,,,0,0,0,0,0,8,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.1453351000091,None,105.1453351000091,107.14253310003551,107.15911160001997,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1102,001,2021_Nov_02_1458,FigureTest,2021.2.1,60.05241375433173,
PreCondition\CS-1.BMP,0.4,,,,,,0,0,0,0,0,9,9,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.44766670005629,None,108.44766670005629,None,110.44300170004135,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1102,001,2021_Nov_02_1458,FigureTest,2021.2.1,60.05241375433173,
