PreCondName,TrgCol,Session_Condition.thisRepN,Session_Condition.thisTrialN,Session_Condition.thisN,Session_Condition.thisIndex,PreCond.thisRepN,PreCond.thisTrialN,PreCond.thisN,PreCond.thisIndex,RatingPreCond.thisRepN,RatingPreCond.thisTrialN,RatingPreCond.thisN,RatingPreCond.thisIndex,ratingName,InstrBkg.started,InstrBkg.stopped,TagFig.started,TagFig.stopped,InstrKeyResp.keys,InstrKeyResp.rt,InstrKeyResp.started,InstrKeyResp.stopped,precondBkg.started,precondBkg.stopped,imagePreCond.started,imagePreCond.stopped,BlankBkg.started,BlankBkg.stopped,participant,session,date,expName,psychopyVersion,frameRate,
PreCondition\CS-2.BMP,0.4,0,0,0,0,0,0,0,6,,,,,,90.22835819999455,None,90.22835819999455,None,space,3.047756300016772,90.22835819999455,None,93.32949939998798,None,93.32949939998798,None,94.31334250001237,None,hyz1102,001,2021_Nov_02_1530,FigureTest,2021.2.1,59.871886152230005,
PreCondition\CS+2.BMP,-0.1,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,95.38124989997596,None,95.38124989997596,None,96.37957260000985,None,hyz1102,001,2021_Nov_02_1530,FigureTest,2021.2.1,59.871886152230005,
PreCondition\CS+2.BMP,-0.1,0,0,0,0,0,2,2,0,,,,,,,,,,,,,,97.57930990000023,None,97.57930990000023,98.5633732000133,98.57904450001661,None,hyz1102,001,2021_Nov_02_1530,FigureTest,2021.2.1,59.871886152230005,
PreCondition\CS+2.BMP,-0.1,0,0,0,0,0,3,3,4,,,,,,,,,,,,,,99.81245919998037,None,99.81245919998037,100.79800439998507,100.81482189998496,None,hyz1102,001,2021_Nov_02_1530,FigureTest,2021.2.1,59.871886152230005,
PreCondition\CS-2.BMP,0.4,0,0,0,0,0,4,4,7,,,,,,,,,,,,,,101.9150083999848,None,101.9150083999848,102.9155524999951,102.93288129998837,None,hyz1102,001,2021_Nov_02_1530,FigureTest,2021.2.1,59.871886152230005,
PreCondition\CS+2.BMP,-0.1,0,0,0,0,0,5,5,2,,,,,,,,,,,,,,104.17891299998155,None,104.17891299998155,105.16233479999937,105.17903890000889,None,hyz1102,001,2021_Nov_02_1530,FigureTest,2021.2.1,59.871886152230005,
PreCondition\CS-2.BMP,0.4,0,0,0,0,0,6,6,9,,,,,,,,,,,,,,106.36221340001794,None,106.36221340001794,107.34516949998215,107.3642581999884,None,hyz1102,001,2021_Nov_02_1530,FigureTest,2021.2.1,59.871886152230005,
PreCondition\CS+2.BMP,-0.1,0,0,0,0,0,7,7,3,,,,,,,,,,,,,,108.5834958999767,None,108.5834958999767,109.58104929997353,109.59773320000386,None,hyz1102,001,2021_Nov_02_1530,FigureTest,2021.2.1,59.871886152230005,
PreCondition\CS-2.BMP,0.4,0,0,0,0,0,8,8,5,,,,,,,,,,,,,,110.6995053999708,None,110.6995053999708,111.695149999985,111.71511200000532,None,hyz1102,001,2021_Nov_02_1530,FigureTest,2021.2.1,59.871886152230005,
PreCondition\CS-2.BMP,0.4,0,0,0,0,0,9,9,8,,,,,,,,,,,,,,112.86594519997016,None,112.86594519997016,113.86371419997886,113.87814799998887,None,hyz1102,001,2021_Nov_02_1530,FigureTest,2021.2.1,59.871886152230005,
