ExtName,TrgCol,ratingName,Session_Extinction.thisRepN,Session_Extinction.thisTrialN,Session_Extinction.thisN,Session_Extinction.thisIndex,Extinction.thisRepN,Extinction.thisTrialN,Extinction.thisN,Extinction.thisIndex,RatingExt.thisRepN,RatingExt.thisTrialN,RatingExt.thisN,RatingExt.thisIndex,InstrBkg3.started,InstrBkg3.stopped,TagFig3.started,TagFig3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,ExtBkg.started,ExtBkg.stopped,Ext_image.started,Ext_image.stopped,BlankBkg.started,BlankBkg.stopped,Bkg.started,Bkg.stopped,image.started,image.stopped,Scale.response,Scale.rt,Scale.started,Scale.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,19.290915499965195,None,19.290915499965195,None,space,2.9640388000407256,19.290915499965195,None,,,,,,,,,,,,,,,hyz1102,001,2021_Nov_02_1624,FigureTest,2021.2.1,59.80657357596314,
Extinction\CS+1.BMP,-0.1,,0,0,0,0,0,0,0,7,,,,,,,,,,,,,22.307910699979402,None,22.307910699979402,None,23.301543199981097,None,,,,,,,,,hyz1102,001,2021_Nov_02_1624,FigureTest,2021.2.1,59.80657357596314,
Extinction\CS-1.BMP,0.4,,0,0,0,0,0,1,1,15,,,,,,,,,,,,,23.39182089996757,None,23.39182089996757,None,24.3867070999695,None,,,,,,,,,hyz1102,001,2021_Nov_02_1624,FigureTest,2021.2.1,59.80657357596314,
Extinction\CS+1.BMP,-0.1,,0,0,0,0,0,2,2,4,,,,,,,,,,,,,24.543526699999347,None,24.543526699999347,None,25.55086149997078,None,,,,,,,,,hyz1102,001,2021_Nov_02_1624,FigureTest,2021.2.1,59.80657357596314,
Extinction\CS+1.BMP,-0.1,,0,0,0,0,0,3,3,6,,,,,,,,,,,,,25.672752499987837,None,25.672752499987837,None,26.684117899974808,None,,,,,,,,,hyz1102,001,2021_Nov_02_1624,FigureTest,2021.2.1,59.80657357596314,
Extinction\CS+1.BMP,-0.1,,0,0,0,0,0,4,4,9,,,,,,,,,,,,,26.833816699974705,None,26.833816699974705,None,27.83385619998444,None,,,,,,,,,hyz1102,001,2021_Nov_02_1624,FigureTest,2021.2.1,59.80657357596314,
Extinction\CS-1.BMP,0.4,,0,0,0,0,0,5,5,13,,,,,,,,,,,,,28.012946999981068,None,28.012946999981068,None,29.019633299962152,None,,,,,,,,,hyz1102,001,2021_Nov_02_1624,FigureTest,2021.2.1,59.80657357596314,
Extinction\CS-1.BMP,0.4,,0,0,0,0,0,6,6,14,,,,,,,,,,,,,29.05027899995912,None,29.05027899995912,None,30.050195799965877,None,,,,,,,,,hyz1102,001,2021_Nov_02_1624,FigureTest,2021.2.1,59.80657357596314,
Extinction\CS+1.BMP,-0.1,,0,0,0,0,0,7,7,0,,,,,,,,,,,,,30.296896799991373,None,30.296896799991373,None,31.300238099996932,None,,,,,,,,,hyz1102,001,2021_Nov_02_1624,FigureTest,2021.2.1,59.80657357596314,
Extinction\CS+1.BMP,-0.1,,0,0,0,0,0,8,8,3,,,,,,,,,,,,,31.383048499992583,None,31.383048499992583,None,32.38519709999673,None,,,,,,,,,hyz1102,001,2021_Nov_02_1624,FigureTest,2021.2.1,59.80657357596314,
Extinction\CS+1.BMP,-0.1,,0,0,0,0,0,9,9,5,,,,,,,,,,,,,32.635780499957036,None,32.635780499957036,None,33.6500354000018,None,,,,,,,,,hyz1102,001,2021_Nov_02_1624,FigureTest,2021.2.1,59.80657357596314,
Extinction\CS-1.BMP,0.4,,0,0,0,0,0,10,10,18,,,,,,,,,,,,,33.85916539997561,None,33.85916539997561,None,34.86649699998088,None,,,,,,,,,hyz1102,001,2021_Nov_02_1624,FigureTest,2021.2.1,59.80657357596314,
Extinction\CS-1.BMP,0.4,,0,0,0,0,0,11,11,11,,,,,,,,,,,,,35.0361939999857,None,35.0361939999857,None,36.05103999999119,None,,,,,,,,,hyz1102,001,2021_Nov_02_1624,FigureTest,2021.2.1,59.80657357596314,
