ExtName,TrgCol,ratingName,Session_Extinction.thisRepN,Session_Extinction.thisTrialN,Session_Extinction.thisN,Session_Extinction.thisIndex,Extinction.thisRepN,Extinction.thisTrialN,Extinction.thisN,Extinction.thisIndex,RatingExt.thisRepN,RatingExt.thisTrialN,RatingExt.thisN,RatingExt.thisIndex,InstrBkg3.started,InstrBkg3.stopped,TagFig3.started,TagFig3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,ExtBkg.started,ExtBkg.stopped,Ext_image.started,Ext_image.stopped,BlankBkg.started,BlankBkg.stopped,Bkg.started,Bkg.stopped,image.started,image.stopped,Scale.response,Scale.rt,Scale.started,Scale.stopped,EndTxt.started,EndTxt.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,22.46601139998529,None,22.46601139998529,None,space,2.7017515000188723,22.46601139998529,None,,,,,,,,,,,,,,,,,hyz1102,001,2021_Nov_02_1627,FigureTest,2021.2.1,60.10706270361948,
Extinction\CS+1.BMP,-0.1,,0,0,0,0,0,0,0,4,,,,,,,,,,,,,25.211916100000963,None,25.211916100000963,None,26.209176999982446,None,,,,,,,,,,,hyz1102,001,2021_Nov_02_1627,FigureTest,2021.2.1,60.10706270361948,
Extinction\CS-1.BMP,0.4,,0,0,0,0,0,1,1,15,,,,,,,,,,,,,26.449883900000714,None,26.449883900000714,None,27.443793000013102,None,,,,,,,,,,,hyz1102,001,2021_Nov_02_1627,FigureTest,2021.2.1,60.10706270361948,
Extinction\CS-1.BMP,0.4,,0,0,0,0,0,2,2,19,,,,,,,,,,,,,27.59233159996802,None,27.59233159996802,None,28.59350389998872,None,,,,,,,,,,,hyz1102,001,2021_Nov_02_1627,FigureTest,2021.2.1,60.10706270361948,
Extinction\CS-1.BMP,0.4,,0,0,0,0,0,3,3,16,,,,,,,,,,,,,28.742245099972934,None,28.742245099972934,None,29.742199199972674,None,,,,,,,,,,,hyz1102,001,2021_Nov_02_1627,FigureTest,2021.2.1,60.10706270361948,
Extinction\CS-1.BMP,0.4,,0,0,0,0,0,4,4,11,,,,,,,,,,,,,29.842033299966715,None,29.842033299966715,None,30.842417299980298,None,,,,,,,,,,,hyz1102,001,2021_Nov_02_1627,FigureTest,2021.2.1,60.10706270361948,
Extinction\CS-1.BMP,0.4,,0,0,0,0,0,5,5,18,,,,,,,,,,,,,30.958844400011003,None,30.958844400011003,None,31.958619999990333,None,,,,,,,,,,,hyz1102,001,2021_Nov_02_1627,FigureTest,2021.2.1,60.10706270361948,
Extinction\CS-1.BMP,0.4,,0,0,0,0,0,6,6,12,,,,,,,,,,,,,32.01236459997017,None,32.01236459997017,None,33.025181800010614,None,,,,,,,,,,,hyz1102,001,2021_Nov_02_1627,FigureTest,2021.2.1,60.10706270361948,
Extinction\CS+1.BMP,-0.1,,0,0,0,0,0,7,7,8,,,,,,,,,,,,,33.16874160000589,None,33.16874160000589,None,34.15830179996556,None,,,,,,,,,,,hyz1102,001,2021_Nov_02_1627,FigureTest,2021.2.1,60.10706270361948,
Extinction\CS+1.BMP,-0.1,,0,0,0,0,0,8,8,0,,,,,,,,,,,,,34.434454799978994,None,34.434454799978994,None,35.44225889997324,None,,,,,,,,,,,hyz1102,001,2021_Nov_02_1627,FigureTest,2021.2.1,60.10706270361948,
Extinction\CS-1.BMP,0.4,,0,0,0,0,0,9,9,14,,,,,,,,,,,,,35.518293700006325,None,35.518293700006325,None,36.50972259999253,None,,,,,,,,,,,hyz1102,001,2021_Nov_02_1627,FigureTest,2021.2.1,60.10706270361948,
Extinction\CS+1.BMP,-0.1,,0,0,0,0,0,10,10,6,,,,,,,,,,,,,36.699282399960794,None,36.699282399960794,None,37.70772860001307,None,,,,,,,,,,,hyz1102,001,2021_Nov_02_1627,FigureTest,2021.2.1,60.10706270361948,
Extinction\CS+1.BMP,-0.1,,0,0,0,0,0,11,11,7,,,,,,,,,,,,,37.891223400016315,None,37.891223400016315,None,38.89092009997694,None,,,,,,,,,,,hyz1102,001,2021_Nov_02_1627,FigureTest,2021.2.1,60.10706270361948,
Extinction\CS+1.BMP,-0.1,,0,0,0,0,0,12,12,1,,,,,,,,,,,,,39.09395539999241,None,39.09395539999241,None,40.10792709997622,None,,,,,,,,,,,hyz1102,001,2021_Nov_02_1627,FigureTest,2021.2.1,60.10706270361948,
Extinction\CS-1.BMP,0.4,,0,0,0,0,0,13,13,13,,,,,,,,,,,,,40.43259979999857,None,40.43259979999857,None,41.42433810001239,None,,,,,,,,,,,hyz1102,001,2021_Nov_02_1627,FigureTest,2021.2.1,60.10706270361948,
Extinction\CS+1.BMP,-0.1,,0,0,0,0,0,14,14,9,,,,,,,,,,,,,41.565678199985996,None,41.565678199985996,None,42.57451880001463,None,,,,,,,,,,,hyz1102,001,2021_Nov_02_1627,FigureTest,2021.2.1,60.10706270361948,
