PreCondName,TrgCol,ratingName,CSName,UCSName,SoundName,ExtName,Session_Condition.thisRepN,Session_Condition.thisTrialN,Session_Condition.thisN,Session_Condition.thisIndex,PreCond.thisRepN,PreCond.thisTrialN,PreCond.thisN,PreCond.thisIndex,RatingPreCond.thisRepN,RatingPreCond.thisTrialN,RatingPreCond.thisN,RatingPreCond.thisIndex,Cond.thisRepN,Cond.thisTrialN,Cond.thisN,Cond.thisIndex,RatingCond.thisRepN,RatingCond.thisTrialN,RatingCond.thisN,RatingCond.thisIndex,Session_Extinction.thisRepN,Session_Extinction.thisTrialN,Session_Extinction.thisN,Session_Extinction.thisIndex,Extinction.thisRepN,Extinction.thisTrialN,Extinction.thisN,Extinction.thisIndex,RatingExt.thisRepN,RatingExt.thisTrialN,RatingExt.thisN,RatingExt.thisIndex,InstrBkg.started,InstrBkg.stopped,TagFig.started,TagFig.stopped,InstrKeyResp.keys,InstrKeyResp.rt,InstrKeyResp.started,InstrKeyResp.stopped,precondBkg.started,precondBkg.stopped,imagePreCond.started,imagePreCond.stopped,BlankBkg.started,BlankBkg.stopped,Bkg.started,Bkg.stopped,image.started,image.stopped,Scale.response,Scale.rt,Scale.started,Scale.stopped,InstrBkg2.started,InstrBkg2.stopped,TagFig2.started,TagFig2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,CSBkg.started,CSBkg.stopped,CS_image.started,CS_image.stopped,UCSBkg.started,UCSBkg.stopped,UCS_image.started,UCS_image.stopped,sound_1.started,sound_1.stopped,InstrBkg3.started,InstrBkg3.stopped,TagFig3.started,TagFig3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,ExtBkg.started,ExtBkg.stopped,Ext_image.started,Ext_image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
PreCondition\CS-1.BMP,0.4,,,,,,0,0,0,0,0,0,0,9,,,,,,,,,,,,,,,,,,,,,,,,,33.3420987999998,None,33.3420987999998,None,space,2.653661199961789,33.3420987999998,None,36.043874000024516,None,36.043874000024516,None,37.033258000039496,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1104,001,2021_Nov_02_1543,FigureTest,2021.2.1,59.90886663557054,
PreCondition\CS+1.BMP,-0.1,,,,,,0,0,0,0,0,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.072871900047176,None,38.072871900047176,39.065237000002526,39.08203450002475,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1104,001,2021_Nov_02_1543,FigureTest,2021.2.1,59.90886663557054,
PreCondition\CS-1.BMP,0.4,,,,,,0,0,0,0,0,2,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.23558229999617,None,40.23558229999617,None,41.23165380000137,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1104,001,2021_Nov_02_1543,FigureTest,2021.2.1,59.90886663557054,
PreCondition\CS-1.BMP,0.4,,,,,,0,0,0,0,0,3,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.43183020001743,None,42.43183020001743,43.414787400048226,43.431539300014265,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1104,001,2021_Nov_02_1543,FigureTest,2021.2.1,59.90886663557054,
PreCondition\CS-1.BMP,0.4,,,,,,0,0,0,0,0,4,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.54783380002482,None,44.54783380002482,45.53115570003865,45.548145700013265,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1104,001,2021_Nov_02_1543,FigureTest,2021.2.1,59.90886663557054,
PreCondition\CS+1.BMP,-0.1,,,,,,0,0,0,0,0,5,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.64414390001912,None,46.64414390001912,None,47.63278760004323,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1104,001,2021_Nov_02_1543,FigureTest,2021.2.1,59.90886663557054,
PreCondition\CS+1.BMP,-0.1,,,,,,0,0,0,0,0,6,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.84159710002132,None,48.84159710002132,49.831096500041895,49.849966900015716,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1104,001,2021_Nov_02_1543,FigureTest,2021.2.1,59.90886663557054,
PreCondition\CS-1.BMP,0.4,,,,,,0,0,0,0,0,7,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.01817460003076,None,51.01817460003076,None,52.01427710003918,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1104,001,2021_Nov_02_1543,FigureTest,2021.2.1,59.90886663557054,
PreCondition\CS+1.BMP,-0.1,,,,,,0,0,0,0,0,8,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.20060860004742,None,53.20060860004742,None,54.197320400038734,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1104,001,2021_Nov_02_1543,FigureTest,2021.2.1,59.90886663557054,
PreCondition\CS+1.BMP,-0.1,,,,,,0,0,0,0,0,9,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.313561300048605,None,55.313561300048605,56.29758000001311,56.31376620003721,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1104,001,2021_Nov_02_1543,FigureTest,2021.2.1,59.90886663557054,
,-0.1,Rating\ratingCS+1.png,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.65657630003989,None,61.65657630003989,None,2.1171875,2.6215945000294596,61.65657630003989,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1104,001,2021_Nov_02_1543,FigureTest,2021.2.1,59.90886663557054,
,0.4,Rating\ratingCS-1.png,,,,,0,0,0,0,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.61385170003632,None,65.61385170003632,None,2.046875,0.9366828999482095,65.61385170003632,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1104,001,2021_Nov_02_1543,FigureTest,2021.2.1,59.90886663557054,
,0.4,,Condition\CS-1.BMP,Condition\black.PNG,Sound\silent.wav,,0,0,0,0,,,,,,,,,0,0,0,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.04960369999753,None,,,,,,,,,66.51518370001577,None,66.51518370001577,None,space,5.956742400012445,66.51518370001577,None,72.53921700001229,None,72.53921700001229,None,None,None,None,None,None,None,,,,,,,,,,,,,hyz1104,001,2021_Nov_02_1543,FigureTest,2021.2.1,59.90886663557054,
,0.9,,Condition\CS+1.BMP,Condition\UCS1.BMP,Sound\scream1.wav,,0,0,0,0,,,,,,,,,0,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.29269380000187,None,,,,,,,,,,,,,,,,,78.2454855000251,None,78.2454855000251,None,79.35781420004787,None,79.35781420004787,None,79.36700584003701,None,,,,,,,,,,,,,hyz1104,001,2021_Nov_02_1543,FigureTest,2021.2.1,59.90886663557054,
,0.9,,Condition\CS+1.BMP,Condition\UCS1.BMP,Sound\scream1.wav,,0,0,0,0,,,,,,,,,0,2,2,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.56549040001119,None,,,,,,,,,,,,,,,,,81.47705129999667,None,81.47705129999667,None,82.4864200000302,None,82.4864200000302,None,82.49379156002541,None,,,,,,,,,,,,,hyz1104,001,2021_Nov_02_1543,FigureTest,2021.2.1,59.90886663557054,
,0.9,,Condition\CS+1.BMP,Condition\UCS1.BMP,Sound\scream1.wav,,0,0,0,0,,,,,,,,,0,3,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.91124580003088,None,,,,,,,,,,,,,,,,,84.81990410003345,None,84.81990410003345,None,85.84366760001285,None,85.84366760001285,None,85.8455812600092,None,,,,,,,,,,,,,hyz1104,001,2021_Nov_02_1543,FigureTest,2021.2.1,59.90886663557054,
,0.4,,Condition\CS-1.BMP,Condition\black.PNG,Sound\silent.wav,,0,0,0,0,,,,,,,,,0,4,4,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.51311140001053,None,,,,,,,,,,,,,,,,,87.97824790002778,None,87.97824790002778,None,None,None,None,None,None,None,,,,,,,,,,,,,hyz1104,001,2021_Nov_02_1543,FigureTest,2021.2.1,59.90886663557054,
,0.9,,Condition\CS+1.BMP,Condition\UCS1.BMP,Sound\scream1.wav,,0,0,0,0,,,,,,,,,0,5,5,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.79497580003226,None,,,,,,,,,,,,,,,,,93.77578630001517,None,93.77578630001517,None,94.90305890003219,None,94.90305890003219,None,94.91125917005702,None,,,,,,,,,,,,,hyz1104,001,2021_Nov_02_1543,FigureTest,2021.2.1,59.90886663557054,
,-0.1,,Condition\CS+1.BMP,Condition\black.PNG,Sound\silent.wav,,0,0,0,0,,,,,,,,,0,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.37233660003403,None,,,,,,,,,,,,,,,,,96.84663820004789,None,96.84663820004789,None,None,None,None,None,None,None,,,,,,,,,,,,,hyz1104,001,2021_Nov_02_1543,FigureTest,2021.2.1,59.90886663557054,
,0.4,,Condition\CS-1.BMP,Condition\black.PNG,Sound\silent.wav,,0,0,0,0,,,,,,,,,0,7,7,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.71651800000109,None,,,,,,,,,,,,,,,,,102.66053260001354,None,102.66053260001354,None,104.67910670000128,None,104.67910670000128,None,104.62604874026728,None,,,,,,,,,,,,,hyz1104,001,2021_Nov_02_1543,FigureTest,2021.2.1,59.90886663557054,
,0.9,,Condition\CS+1.BMP,Condition\UCS1.BMP,Sound\scream1.wav,,0,0,0,0,,,,,,,,,0,8,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.82839450001484,None,,,,,,,,,,,,,,,,,105.78877770004328,None,105.78877770004328,None,106.89082670002244,None,106.89082670002244,None,106.90147034006658,None,,,,,,,,,,,,,hyz1104,001,2021_Nov_02_1543,FigureTest,2021.2.1,59.90886663557054,
,0.4,,Condition\CS-1.BMP,Condition\black.PNG,Sound\silent.wav,,0,0,0,0,,,,,,,,,0,9,9,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.55806480004685,None,,,,,,,,,,,,,,,,,109.0195279000327,None,109.0195279000327,None,None,None,None,None,None,None,,,,,,,,,,,,,hyz1104,001,2021_Nov_02_1543,FigureTest,2021.2.1,59.90886663557054,
,0.4,,Condition\CS-1.BMP,Condition\black.PNG,Sound\silent.wav,,0,0,0,0,,,,,,,,,0,10,10,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.83328240003902,None,,,,,,,,,,,,,,,,,114.77628760004882,None,114.77628760004882,None,116.81048470002133,None,116.81048470002133,None,116.74613304026424,None,,,,,,,,,,,,,hyz1104,001,2021_Nov_02_1543,FigureTest,2021.2.1,59.90886663557054,
,-0.1,,Condition\CS+1.BMP,Condition\black.PNG,Sound\silent.wav,,0,0,0,0,,,,,,,,,0,11,11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.23735980002675,None,,,,,,,,,,,,,,,,,118.20793850003975,None,118.20793850003975,None,None,None,None,None,None,None,,,,,,,,,,,,,hyz1104,001,2021_Nov_02_1543,FigureTest,2021.2.1,59.90886663557054,
,0.4,,Condition\CS-1.BMP,Condition\black.PNG,Sound\silent.wav,,0,0,0,0,,,,,,,,,0,12,12,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.55761210003402,None,,,,,,,,,,,,,,,,,121.44398040004307,None,121.44398040004307,None,123.4862288000295,None,123.4862288000295,None,123.41184387026006,None,,,,,,,,,,,,,hyz1104,001,2021_Nov_02_1543,FigureTest,2021.2.1,59.90886663557054,
,0.4,,Condition\CS-1.BMP,Condition\black.PNG,Sound\silent.wav,,0,0,0,0,,,,,,,,,0,13,13,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.73847070004558,None,,,,,,,,,,,,,,,,,124.67437510000309,None,124.67437510000309,None,126.70947330002673,None,126.70947330002673,None,126.64795287025045,None,,,,,,,,,,,,,hyz1104,001,2021_Nov_02_1543,FigureTest,2021.2.1,59.90886663557054,
,0.4,,Condition\CS-1.BMP,Condition\black.PNG,Sound\silent.wav,,0,0,0,0,,,,,,,,,0,14,14,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.13348449999467,None,,,,,,,,,,,,,,,,,128.09164650004823,None,128.09164650004823,None,130.11333570000716,None,130.11333570000716,None,130.06348937029836,None,,,,,,,,,,,,,hyz1104,001,2021_Nov_02_1543,FigureTest,2021.2.1,59.90886663557054,
,0.9,,Condition\CS+1.BMP,Condition\UCS1.BMP,Sound\scream1.wav,,0,0,0,0,,,,,,,,,0,15,15,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.39903220004635,None,,,,,,,,,,,,,,,,,131.35762840003008,None,131.35762840003008,None,132.47048440005165,None,132.47048440005165,None,132.46679351006753,None,,,,,,,,,,,,,hyz1104,001,2021_Nov_02_1543,FigureTest,2021.2.1,59.90886663557054,
,0.9,,Condition\CS+1.BMP,Condition\UCS1.BMP,Sound\scream1.wav,,0,0,0,0,,,,,,,,,0,16,16,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.54845950001618,None,,,,,,,,,,,,,,,,,134.52423900004942,None,134.52423900004942,None,135.54696070001228,None,135.54696070001228,None,135.55634406001775,None,,,,,,,,,,,,,hyz1104,001,2021_Nov_02_1543,FigureTest,2021.2.1,59.90886663557054,
,0.4,,Condition\CS-1.BMP,Condition\black.PNG,Sound\silent.wav,,0,0,0,0,,,,,,,,,0,17,17,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.28680500003975,None,,,,,,,,,,,,,,,,,137.7470283000148,None,137.7470283000148,None,None,None,None,None,None,None,,,,,,,,,,,,,hyz1104,001,2021_Nov_02_1543,FigureTest,2021.2.1,59.90886663557054,
,0.4,,Condition\CS-1.BMP,Condition\black.PNG,Sound\silent.wav,,0,0,0,0,,,,,,,,,0,18,18,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.4865571000264,None,,,,,,,,,,,,,,,,,143.42071239999495,None,143.42071239999495,None,145.44101680000313,None,145.44101680000313,None,145.3768091402948,None,,,,,,,,,,,,,hyz1104,001,2021_Nov_02_1543,FigureTest,2021.2.1,59.90886663557054,
