PreCondName,TrgCol,PreCond.thisRepN,PreCond.thisTrialN,PreCond.thisN,PreCond.thisIndex,RatingPreCond.thisRepN,RatingPreCond.thisTrialN,RatingPreCond.thisN,RatingPreCond.thisIndex,ratingName_EN,ratingName_CN,InstrBkg.started,TagFig.started,InstrKeyResp.started,InstrKeyResp.keys,InstrKeyResp.rt,precondBkg.started,imagePreCond.started,imagePreCond.stopped,BlankBkg.started,BlankBkg.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,13.833697458001552,13.833697458001552,13.833697458001552,space,6.702697583001282,,,,,,jhj,001,2022-12-16_05h34.05.577,FigureTest,2022.2.4,59.53833971438399,
Stimuli/CS+3.BMP,-0.1,0,0,0,3,,,,,,,,,,,,20.6823355000015,20.6823355000015,26.580665417001,26.595765707999817,30.9992735420019,jhj,001,2022-12-16_05h34.05.577,FigureTest,2022.2.4,59.53833971438399,
Stimuli/CS+3.BMP,-0.1,0,1,1,0,,,,,,,,,,,,30.9992735420019,30.9992735420019,36.94586283300305,36.979377458003,41.21905833300116,jhj,001,2022-12-16_05h34.05.577,FigureTest,2022.2.4,59.53833971438399,
Stimuli/CS+4.BMP,0.4,0,2,2,11,,,,,,,,,,,,41.21905833300116,41.21905833300116,47.179257249998045,47.19551175000379,51.38125495800341,jhj,001,2022-12-16_05h34.05.577,FigureTest,2022.2.4,59.53833971438399,
Stimuli/CS+3.BMP,-0.1,0,3,3,4,,,,,,,,,,,,51.38125495800341,51.38125495800341,57.362112374998105,57.3799588749971,61.489700750003976,jhj,001,2022-12-16_05h34.05.577,FigureTest,2022.2.4,59.53833971438399,
Stimuli/CS+1.BMP,0.4,0,4,4,6,,,,,,,,,,,,61.489700750003976,61.489700750003976,67.4639232499976,67.47956629200053,71.69472287499957,jhj,001,2022-12-16_05h34.05.577,FigureTest,2022.2.4,59.53833971438399,
Stimuli/CS+3.BMP,-0.1,0,5,5,2,,,,,,,,,,,,71.69472287499957,71.69472287499957,77.66232504200161,77.69692170799681,81.90307937499892,jhj,001,2022-12-16_05h34.05.577,FigureTest,2022.2.4,59.53833971438399,
Stimuli/CS+4.BMP,0.4,0,6,6,12,,,,,,,,,,,,81.90307937499892,81.90307937499892,87.89296350000222,87.90075487500144,92.19155291700008,jhj,001,2022-12-16_05h34.05.577,FigureTest,2022.2.4,59.53833971438399,
Stimuli/CS+3.BMP,-0.1,0,7,7,1,,,,,,,,,,,,92.19155291700008,92.19155291700008,98.14633629200398,98.162969625002,102.45961166699999,jhj,001,2022-12-16_05h34.05.577,FigureTest,2022.2.4,59.53833971438399,
Stimuli/CS+4.BMP,0.4,0,8,8,14,,,,,,,,,,,,102.45961166699999,102.45961166699999,108.41584941699693,108.430875500002,112.57523791700078,jhj,001,2022-12-16_05h34.05.577,FigureTest,2022.2.4,59.53833971438399,
Stimuli/CS+1.BMP,0.4,0,9,9,9,,,,,,,,,,,,112.57523791700078,112.57523791700078,,118.56528358299693,122.95771016700019,jhj,001,2022-12-16_05h34.05.577,FigureTest,2022.2.4,59.53833971438399,
Stimuli/CS+1.BMP,0.4,0,10,10,7,,,,,,,,,,,,122.95771016700019,122.95771016700019,,128.93308229200193,133.18106645799708,jhj,001,2022-12-16_05h34.05.577,FigureTest,2022.2.4,59.53833971438399,
Stimuli/CS+4.BMP,0.4,0,11,11,13,,,,,,,,,,,,133.18106645799708,133.18106645799708,139.16422600000078,139.18094562499755,143.36396191699896,jhj,001,2022-12-16_05h34.05.577,FigureTest,2022.2.4,59.53833971438399,
Stimuli/CS+1.BMP,0.4,0,12,12,5,,,,,,,,,,,,143.36396191699896,143.36396191699896,149.33179079199908,149.3491406250032,153.62722179199773,jhj,001,2022-12-16_05h34.05.577,FigureTest,2022.2.4,59.53833971438399,
Stimuli/CS+4.BMP,0.4,0,13,13,10,,,,,,,,,,,,153.62722179199773,153.62722179199773,159.583266792004,159.6165854580031,163.68360024999856,jhj,001,2022-12-16_05h34.05.577,FigureTest,2022.2.4,59.53833971438399,
Stimuli/CS+1.BMP,0.4,0,14,14,8,,,,,,,,,,,,163.68360024999856,163.68360024999856,,169.66617179199966,,jhj,001,2022-12-16_05h34.05.577,FigureTest,2022.2.4,59.53833971438399,
