PreCondName,TrgCol,ratingName,CSName,UCSName,SoundName,Session_Condition.thisRepN,Session_Condition.thisTrialN,Session_Condition.thisN,Session_Condition.thisIndex,PreCond.thisRepN,PreCond.thisTrialN,PreCond.thisN,PreCond.thisIndex,RatingPreCond.thisRepN,RatingPreCond.thisTrialN,RatingPreCond.thisN,RatingPreCond.thisIndex,Cond.thisRepN,Cond.thisTrialN,Cond.thisN,Cond.thisIndex,RatingCond.thisRepN,RatingCond.thisTrialN,RatingCond.thisN,RatingCond.thisIndex,InstrBkg.started,TagFig.started,InstrKeyResp.started,InstrKeyResp.keys,InstrKeyResp.rt,precondBkg.started,imagePreCond.started,imagePreCond.stopped,BlankBkg.started,BlankBkg.stopped,Bkg.started,image.started,Scale.started,Scale.response,Scale.rt,fearRating.keys,fearRating.rt,InstrBkg2.started,TagFig2.started,key_resp.started,key_resp.keys,key_resp.rt,CSBkg.started,CS_image.started,UCSBkg.started,UCS_image.started,sound_1.started,CSBkg.stopped,CS_image.stopped,sound_1.stopped,UCSBkg.stopped,UCS_image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
PreCondition/CS+1.BMP,-0.1,,,,,0,0,0,0,0,0,0,1,,,,,,,,,,,,,12.354380875010975,12.354380875010975,12.354380875010975,space,5.604721540992614,18.026517209014855,18.026517209014855,23.984919417009223,24.00039950001519,32.239514541986864,,,,,,,,,,,,,,,,,,,,,,,k,001,2022-12-06_13h23.33.040,FigureTest,2022.2.4,59.92072512804996,
PreCondition/CS-1.BMP,0.4,,,,,0,0,0,0,0,1,1,6,,,,,,,,,,,,,,,,,,32.239514541986864,32.239514541986864,38.23343575000763,38.25121516699437,46.33772966696415,,,,,,,,,,,,,,,,,,,,,,,k,001,2022-12-06_13h23.33.040,FigureTest,2022.2.4,59.92072512804996,
PreCondition/CS+1.BMP,-0.1,,,,,0,0,0,0,0,2,2,4,,,,,,,,,,,,,,,,,,46.33772966696415,46.33772966696415,,52.317901249974966,60.51415895897662,,,,,,,,,,,,,,,,,,,,,,,k,001,2022-12-06_13h23.33.040,FigureTest,2022.2.4,59.92072512804996,
PreCondition/CS-1.BMP,0.4,,,,,0,0,0,0,0,3,3,5,,,,,,,,,,,,,,,,,,60.51415895897662,60.51415895897662,66.48597475001588,66.50157441699412,74.72251229197718,,,,,,,,,,,,,,,,,,,,,,,k,001,2022-12-06_13h23.33.040,FigureTest,2022.2.4,59.92072512804996,
PreCondition/CS-1.BMP,0.4,,,,,0,0,0,0,0,4,4,7,,,,,,,,,,,,,,,,,,74.72251229197718,74.72251229197718,80.71908779197838,80.75002079200931,89.16124020901043,,,,,,,,,,,,,,,,,,,,,,,k,001,2022-12-06_13h23.33.040,FigureTest,2022.2.4,59.92072512804996,
PreCondition/CS+1.BMP,-0.1,,,,,0,0,0,0,0,5,5,0,,,,,,,,,,,,,,,,,,89.16124020901043,89.16124020901043,95.13632275001146,95.15273083397187,103.30494416697184,,,,,,,,,,,,,,,,,,,,,,,k,001,2022-12-06_13h23.33.040,FigureTest,2022.2.4,59.92072512804996,
PreCondition/CS+1.BMP,-0.1,,,,,0,0,0,0,0,6,6,2,,,,,,,,,,,,,,,,,,103.30494416697184,103.30494416697184,109.28686862497125,109.32036491698818,117.4661980419769,,,,,,,,,,,,,,,,,,,,,,,k,001,2022-12-06_13h23.33.040,FigureTest,2022.2.4,59.92072512804996,
PreCondition/CS-1.BMP,0.4,,,,,0,0,0,0,0,7,7,8,,,,,,,,,,,,,,,,,,117.4661980419769,117.4661980419769,123.45403070899192,123.46977512497688,131.62215987499803,,,,,,,,,,,,,,,,,,,,,,,k,001,2022-12-06_13h23.33.040,FigureTest,2022.2.4,59.92072512804996,
PreCondition/CS+1.BMP,-0.1,,,,,0,0,0,0,0,8,8,3,,,,,,,,,,,,,,,,,,131.62215987499803,131.62215987499803,137.58929820900084,137.62078800000018,145.6814967499813,,,,,,,,,,,,,,,,,,,,,,,k,001,2022-12-06_13h23.33.040,FigureTest,2022.2.4,59.92072512804996,
PreCondition/CS-1.BMP,0.4,,,,,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,145.6814967499813,145.6814967499813,151.65401112497784,151.70184604200767,160.12857204198372,,,,,,,,,,,,,,,,,,,,,,,k,001,2022-12-06_13h23.33.040,FigureTest,2022.2.4,59.92072512804996,
,-0.1,Instructions_EN/ratingCS+1.png,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,160.12857204198372,160.12857204198372,160.12857204198372,None,None,1,6.729133457993157,,,,,,,,,,,,,,,,k,001,2022-12-06_13h23.33.040,FigureTest,2022.2.4,59.92072512804996,
,0.4,Instructions_EN/ratingCS-1.png,,,,0,0,0,0,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,166.89868791698245,166.89868791698245,166.89868791698245,None,None,1,1.1245307070203125,,,,,,,,,,,,,,,,k,001,2022-12-06_13h23.33.040,FigureTest,2022.2.4,59.92072512804996,
,0.4,,Condition/CS-1.BMP,Condition/black.PNG,Sound/silent.wav,0,0,0,0,,,,,,,,,0,0,0,20,,,,,,,,,,,,,178.51353762496728,186.61561420897488,,,,,,,,168.07146204198943,168.07146204198943,168.07146204198943,space,2.251487374014687,170.3745736249839,170.3745736249839,,,,,,,,,k,001,2022-12-06_13h23.33.040,FigureTest,2022.2.4,59.92072512804996,
,0.9,,Condition/CS+1.BMP,Condition/UCS1.BMP,Sound/scream1.wav,0,0,0,0,,,,,,,,,0,1,1,4,,,,,,,,,,,,,193.6214192089974,201.6612762499717,,,,,,,,,,,,,186.61561420897488,186.61561420897488,192.68278437497793,192.68278437497793,192.68807333300356,,,,,,k,001,2022-12-06_13h23.33.040,FigureTest,2022.2.4,59.92072512804996,
,0.4,,Condition/CS-1.BMP,Condition/black.PNG,Sound/silent.wav,0,0,0,0,,,,,,,,,0,2,2,21,,,,,,,,,,,,,209.50958820898086,217.8334883750067,,,,,,,,,,,,,201.6612762499717,201.6612762499717,,,,,,,,,k,001,2022-12-06_13h23.33.040,FigureTest,2022.2.4,59.92072512804996,
,0.9,,Condition/CS+1.BMP,Condition/UCS1.BMP,Sound/scream1.wav,0,0,0,0,,,,,,,,,0,3,3,8,,,,,,,,,,,,,224.8394187919912,233.1404655840015,,,,,,,,,,,,,217.8334883750067,217.8334883750067,223.9043290420086,223.9043290420086,223.9067348749959,,,,,,k,001,2022-12-06_13h23.33.040,FigureTest,2022.2.4,59.92072512804996,
,0.9,,Condition/CS+1.BMP,Condition/UCS1.BMP,Sound/scream1.wav,0,0,0,0,,,,,,,,,0,4,4,13,,,,,,,,,,,,,240.15764108399162,248.6769057919737,,,,,,,,,,,,,233.1404655840015,233.1404655840015,239.143469291972,239.143469291972,239.14071425857256,239.143469291972,239.143469291972,240.14005016698502,,,k,001,2022-12-06_13h23.33.040,FigureTest,2022.2.4,59.92072512804996,
,0.9,,Condition/CS+1.BMP,Condition/UCS1.BMP,Sound/scream1.wav,0,0,0,0,,,,,,,,,0,5,5,3,,,,,,,,,,,,,255.67375595896738,263.95724104199326,,,,,,,,,,,,,248.6769057919737,248.6769057919737,254.69022712501464,254.69022712501464,254.69078200861114,,,,,,k,001,2022-12-06_13h23.33.040,FigureTest,2022.2.4,59.92072512804996,
,0.9,,Condition/CS+1.BMP,Condition/UCS1.BMP,Sound/scream1.wav,0,0,0,0,,,,,,,,,0,6,6,11,,,,,,,,,,,,,270.9577795419609,279.0408006669604,,,,,,,,,,,,,263.95724104199326,263.95724104199326,269.9571217090124,269.9571217090124,269.9584527585888,,,270.9577795419609,270.9577795419609,270.9577795419609,k,001,2022-12-06_13h23.33.040,FigureTest,2022.2.4,59.92072512804996,
