PreCondName,TrgCol,PreConditiong.thisRepN,PreConditiong.thisTrialN,PreConditiong.thisN,PreConditiong.thisIndex,InstrBkg.started,InstrBkg.stopped,TagFig.started,TagFig.stopped,InstrKeyResp.keys,InstrKeyResp.rt,InstrKeyResp.started,InstrKeyResp.stopped,precondBkg.started,precondBkg.stopped,imagePreCond.started,imagePreCond.stopped,BlankBkg.started,BlankBkg.stopped,Bkg.started,Bkg.stopped,text.started,text.stopped,image.started,image.stopped,Scale.response,Scale.rt,Scale.started,Scale.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,44.38596050000342,None,44.38596050000342,None,space,58.84471580000172,44.38596050000342,None,,,,,,,,,,,,,,,,,kkk,001,2021_Aug_05_1518,FigureTest,2021.2.1,59.98825429984729,
PreCondition\CS+.PNG,-0.1,0,0,0,0,,,,,,,,,103.26286820000314,None,103.26286820000314,104.25319090000266,104.27092730000004,None,,,,,,,,,,,kkk,001,2021_Aug_05_1518,FigureTest,2021.2.1,59.98825429984729,
PreCondition\CS+.PNG,-0.1,0,1,1,1,,,,,,,,,106.42355270000189,None,106.42355270000189,107.40237030000208,107.43496420000156,None,,,,,,,,,,,kkk,001,2021_Aug_05_1518,FigureTest,2021.2.1,59.98825429984729,
PreCondition\CS-.PNG,0.4,0,2,2,9,,,,,,,,,109.4574640000028,None,109.4574640000028,110.45206240000334,110.46839910000199,None,,,,,,,,,,,kkk,001,2021_Aug_05_1518,FigureTest,2021.2.1,59.98825429984729,
PreCondition\CS+.PNG,-0.1,0,3,3,3,,,,,,,,,112.72035490000053,None,112.72035490000053,113.7177053000014,113.73428520000016,None,,,,,,,,,,,kkk,001,2021_Aug_05_1518,FigureTest,2021.2.1,59.98825429984729,
PreCondition\CS-.PNG,0.4,0,4,4,8,,,,,,,,,115.90750030000345,None,115.90750030000345,116.90332070000295,116.91870020000351,None,,,,,,,,,,,kkk,001,2021_Aug_05_1518,FigureTest,2021.2.1,59.98825429984729,
PreCondition\CS+.PNG,-0.1,0,5,5,2,,,,,,,,,119.21673630000078,None,119.21673630000078,120.19996840000022,120.21750860000247,None,,,,,,,,,,,kkk,001,2021_Aug_05_1518,FigureTest,2021.2.1,59.98825429984729,
PreCondition\CS-.PNG,0.4,0,6,6,5,,,,,,,,,122.24977520000175,None,122.24977520000175,123.23666920000323,123.25052170000345,None,,,,,,,,,,,kkk,001,2021_Aug_05_1518,FigureTest,2021.2.1,59.98825429984729,
PreCondition\CS+.PNG,-0.1,0,7,7,4,,,,,,,,,125.60000070000024,None,125.60000070000024,126.5826509000035,126.59991220000302,None,,,,,,,,,,,kkk,001,2021_Aug_05_1518,FigureTest,2021.2.1,59.98825429984729,
PreCondition\CS-.PNG,0.4,0,8,8,7,,,,,,,,,128.80033620000177,None,128.80033620000177,129.78338820000135,129.80013430000326,None,,,,,,,,,,,kkk,001,2021_Aug_05_1518,FigureTest,2021.2.1,59.98825429984729,
PreCondition\CS-.PNG,0.4,0,9,9,6,,,,,,,,,132.06897660000323,None,132.06897660000323,133.04969750000237,133.0832771000023,None,,,,,,,,,,,kkk,001,2021_Aug_05_1518,FigureTest,2021.2.1,59.98825429984729,
,,,,,,,,,,,,,,,,,,,,135.3203641,None,135.3203641,None,135.3203641,None,3.5078125,115.69059280000147,135.3203641,None,,,,,,,
