PicFileName,TrgCol,TrgCol2,CSName,UCSName,SoundName,PreConditiong.thisRepN,PreConditiong.thisTrialN,PreConditiong.thisN,PreConditiong.thisIndex,Conditioning.thisRepN,Conditioning.thisTrialN,Conditioning.thisN,Conditioning.thisIndex,InstrBkg.started,InstrBkg.stopped,TagFig.started,TagFig.stopped,InstrKeyResp.keys,InstrKeyResp.rt,InstrKeyResp.started,InstrKeyResp.stopped,precondBkg.started,precondBkg.stopped,imagePreCond.started,imagePreCond.stopped,BlankBkg.started,BlankBkg.stopped,InstrBkg2.started,InstrBkg2.stopped,TagFig2.started,TagFig2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,CSBkg.started,CSBkg.stopped,CS_image.started,CS_image.stopped,UCSBkg.started,UCSBkg.stopped,UCS_image.started,UCS_image.stopped,sound_1.started,sound_1.stopped,BlankBkg2.started,BlankBkg2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,41.24097769999935,None,41.24097769999935,None,space,1.3213892000003398,41.24097769999935,None,,,,,,,,,,,,,,,,,,,,,,,,,,,kkkk,001,2021_Aug_05_0019,FigureTest,2021.2.1,59.872638922190944,
PreCond1\CS+.PNG,-0.1,-0.1,,,,0,0,0,3,,,,,,,,,,,,,42.58739590000005,None,42.58739590000005,43.58469800000057,43.60106690000066,None,,,,,,,,,,,,,,,,,,,,,kkkk,001,2021_Aug_05_0019,FigureTest,2021.2.1,59.872638922190944,
PreCond1\CS-.PNG,0.4,0.1,,,,0,1,1,5,,,,,,,,,,,,,45.767050099999324,None,45.767050099999324,46.7507956999998,46.76741380000021,None,,,,,,,,,,,,,,,,,,,,,kkkk,001,2021_Aug_05_0019,FigureTest,2021.2.1,59.872638922190944,
PreCond1\CS+.PNG,-0.1,-0.1,,,,0,2,2,2,,,,,,,,,,,,,48.88399600000048,None,48.88399600000048,49.8673605999993,49.88358039999912,None,,,,,,,,,,,,,,,,,,,,,kkkk,001,2021_Aug_05_0019,FigureTest,2021.2.1,59.872638922190944,
PreCond1\CS-.PNG,0.4,0.1,,,,0,3,3,8,,,,,,,,,,,,,52.08347859999958,None,52.08347859999958,53.06662289999986,53.0830791999997,None,,,,,,,,,,,,,,,,,,,,,kkkk,001,2021_Aug_05_0019,FigureTest,2021.2.1,59.872638922190944,
PreCond1\CS-.PNG,0.4,0.1,,,,0,4,4,7,,,,,,,,,,,,,55.283401999999114,None,55.283401999999114,56.266533800000616,56.2851541,None,,,,,,,,,,,,,,,,,,,,,kkkk,001,2021_Aug_05_0019,FigureTest,2021.2.1,59.872638922190944,
PreCond1\CS-.PNG,0.4,0.1,,,,0,5,5,9,,,,,,,,,,,,,58.54933560000063,None,58.54933560000063,59.5329985999997,59.54974290000064,None,,,,,,,,,,,,,,,,,,,,,kkkk,001,2021_Aug_05_0019,FigureTest,2021.2.1,59.872638922190944,
PreCond1\CS+.PNG,-0.1,-0.1,,,,0,6,6,0,,,,,,,,,,,,,61.6490419999991,None,61.6490419999991,62.63247640000009,62.65137279999908,None,,,,,,,,,,,,,,,,,,,,,kkkk,001,2021_Aug_05_0019,FigureTest,2021.2.1,59.872638922190944,
PreCond1\CS-.PNG,0.4,0.1,,,,0,7,7,6,,,,,,,,,,,,,64.79883680000057,None,64.79883680000057,65.78195140000025,65.79886570000053,None,,,,,,,,,,,,,,,,,,,,,kkkk,001,2021_Aug_05_0019,FigureTest,2021.2.1,59.872638922190944,
PreCond1\CS+.PNG,-0.1,-0.1,,,,0,8,8,1,,,,,,,,,,,,,67.9652016,None,67.9652016,68.94837949999965,68.96479689999978,None,,,,,,,,,,,,,,,,,,,,,kkkk,001,2021_Aug_05_0019,FigureTest,2021.2.1,59.872638922190944,
PreCond1\CS+.PNG,-0.1,-0.1,,,,0,9,9,4,,,,,,,,,,,,,71.0485064000004,None,71.0485064000004,72.03123070000038,72.04790250000042,None,,,,,,,,,,,,,,,,,,,,,kkkk,001,2021_Aug_05_0019,FigureTest,2021.2.1,59.872638922190944,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.33316589999959,None,74.33316589999959,None,space,7.62253420000161,74.33316589999959,None,,,,,,,,,,,,,kkkk,001,2021_Aug_05_0019,FigureTest,2021.2.1,59.872638922190944,
,0.4,0.1,Cond1\CS-.PNG,Cond1\UCS.PNG,Sound\2.wav,,,,,0,0,0,16,,,,,,,,,,,,,,,,,,,,,,,81.9851710999992,None,81.9851710999992,None,83.9967816999997,None,83.9967816999997,None,83.99652893999955,None,85.05713970000033,None,kkkk,001,2021_Aug_05_0019,FigureTest,2021.2.1,59.872638922190944,
,-0.1,-0.1,Cond1\CS+.PNG,Cond1\UCS.PNG,Sound\1.wav,,,,,0,1,1,8,,,,,,,,,,,,,,,,,,,,,,,87.19658929999969,None,87.19658929999969,None,89.1962151000007,None,89.1962151000007,None,89.19608573999976,None,90.25354719999996,None,kkkk,001,2021_Aug_05_0019,FigureTest,2021.2.1,59.872638922190944,
