PreCondName,TrgCol,PreConditiong.thisRepN,PreConditiong.thisTrialN,PreConditiong.thisN,PreConditiong.thisIndex,InstrBkg.started,InstrBkg.stopped,TagFig.started,TagFig.stopped,InstrKeyResp.keys,InstrKeyResp.rt,InstrKeyResp.started,InstrKeyResp.stopped,precondBkg.started,precondBkg.stopped,imagePreCond.started,imagePreCond.stopped,BlankBkg.started,BlankBkg.stopped,Bkg.started,Bkg.stopped,image.started,image.stopped,Scale.response,Scale.rt,Scale.started,Scale.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,51.12588030000188,None,51.12588030000188,None,space,1.6906667000002926,51.12588030000188,None,,,,,,,,,,,,,,,llll,001,2021_Aug_05_1544,FigureTest,2021.2.1,60.13702823280198,
PreCondition\CS+.PNG,-0.1,0,0,0,4,,,,,,,,,52.845356300000276,None,52.845356300000276,53.84636880000107,53.86066059999939,None,,,,,,,,,llll,001,2021_Aug_05_1544,FigureTest,2021.2.1,60.13702823280198,
PreCondition\CS-.PNG,0.4,0,1,1,6,,,,,,,,,56.193651300000056,None,56.193651300000056,57.17789940000148,57.1942936000014,None,,,,,,,,,llll,001,2021_Aug_05_1544,FigureTest,2021.2.1,60.13702823280198,
PreCondition\CS-.PNG,0.4,0,2,2,5,,,,,,,,,59.47681899999952,None,59.47681899999952,60.46028130000195,60.47695260000182,None,,,,,,,,,llll,001,2021_Aug_05_1544,FigureTest,2021.2.1,60.13702823280198,
PreCondition\CS+.PNG,-0.1,0,3,3,0,,,,,,,,,62.709721100000024,None,62.709721100000024,63.693240000000515,63.70977150000181,None,,,,,,,,,llll,001,2021_Aug_05_1544,FigureTest,2021.2.1,60.13702823280198,
PreCondition\CS-.PNG,0.4,0,4,4,9,,,,,,,,,65.9501506000015,None,65.9501506000015,66.94492180000088,66.95920280000064,None,,,,,,,,,llll,001,2021_Aug_05_1544,FigureTest,2021.2.1,60.13702823280198,
PreCondition\CS-.PNG,0.4,0,5,5,7,,,,,,,,,69.14234249999936,None,69.14234249999936,70.12615050000022,70.14333120000083,None,,,,,,,,,llll,001,2021_Aug_05_1544,FigureTest,2021.2.1,60.13702823280198,
PreCondition\CS+.PNG,-0.1,0,6,6,3,,,,,,,,,72.49271520000184,None,72.49271520000184,73.47541920000003,73.49443360000078,None,,,,,,,,,llll,001,2021_Aug_05_1544,FigureTest,2021.2.1,60.13702823280198,
PreCondition\CS-.PNG,0.4,0,7,7,8,,,,,,,,,75.57561089999945,None,75.57561089999945,76.55832160000136,76.5753896999995,None,,,,,,,,,llll,001,2021_Aug_05_1544,FigureTest,2021.2.1,60.13702823280198,
PreCondition\CS+.PNG,-0.1,0,8,8,1,,,,,,,,,78.80798560000039,None,78.80798560000039,79.79174419999981,79.80831780000153,None,,,,,,,,,llll,001,2021_Aug_05_1544,FigureTest,2021.2.1,60.13702823280198,
PreCondition\CS+.PNG,-0.1,0,9,9,2,,,,,,,,,82.11276830000133,None,82.11276830000133,83.10765280000123,83.12649480000255,None,,,,,,,,,llll,001,2021_Aug_05_1544,FigureTest,2021.2.1,60.13702823280198,
,,,,,,,,,,,,,,,,,,,,85.26727380000011,None,85.26727380000011,None,1.1953124999999996,67.26970309999888,85.26727380000011,None,,,,,,,
