PicFileName,TrgCol,TrgCol2,CSName,UCSName,SoundName,PreConditiong.thisRepN,PreConditiong.thisTrialN,PreConditiong.thisN,PreConditiong.thisIndex,Conditioning.thisRepN,Conditioning.thisTrialN,Conditioning.thisN,Conditioning.thisIndex,Extinction.thisRepN,Extinction.thisTrialN,Extinction.thisN,Extinction.thisIndex,InstrBkg.started,InstrBkg.stopped,TagFig.started,TagFig.stopped,InstrKeyResp.keys,InstrKeyResp.rt,InstrKeyResp.started,InstrKeyResp.stopped,precondBkg.started,precondBkg.stopped,imagePreCond.started,imagePreCond.stopped,BlankBkg.started,BlankBkg.stopped,InstrBkg2.started,InstrBkg2.stopped,TagFig2.started,TagFig2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,CSBkg.started,CSBkg.stopped,CS_image.started,CS_image.stopped,UCSBkg.started,UCSBkg.stopped,UCS_image.started,UCS_image.stopped,sound_1.started,sound_1.stopped,BlankBkg2.started,BlankBkg2.stopped,InstrBkg3.started,InstrBkg3.stopped,TagFig3.started,TagFig3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,ExtBkg.started,ExtBkg.stopped,Ext_image.started,Ext_image.stopped,ISIBkg.started,ISIBkg.stopped,InterSessInstrct.started,InterSessInstrct.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,42.641404399999374,None,42.641404399999374,None,space,1.4572300999989238,42.641404399999374,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lllll,001,2021_Aug_05_0024,FigureTest,2021.2.1,59.819953902596,
PreCond1\CS+.PNG,-0.1,-0.1,,,,0,0,0,3,,,,,,,,,,,,,,,,,44.12745150000046,None,44.12745150000046,45.10554020000018,45.138877299999876,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lllll,001,2021_Aug_05_0024,FigureTest,2021.2.1,59.819953902596,
PreCond1\CS+.PNG,-0.1,-0.1,,,,0,1,1,1,,,,,,,,,,,,,,,,,47.28902439999911,None,47.28902439999911,48.27340749999894,48.289969100000235,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lllll,001,2021_Aug_05_0024,FigureTest,2021.2.1,59.819953902596,
PreCond1\CS-.PNG,0.4,0.1,,,,0,2,2,6,,,,,,,,,,,,,,,,,50.62204810000003,None,50.62204810000003,51.60533690000011,51.62176199999885,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lllll,001,2021_Aug_05_0024,FigureTest,2021.2.1,59.819953902596,
PreCond1\CS-.PNG,0.4,0.1,,,,0,3,3,7,,,,,,,,,,,,,,,,,53.73796219999895,None,53.73796219999895,54.72173189999921,54.738210999999865,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lllll,001,2021_Aug_05_0024,FigureTest,2021.2.1,59.819953902596,
PreCond1\CS-.PNG,0.4,0.1,,,,0,4,4,5,,,,,,,,,,,,,,,,,56.887815500000215,None,56.887815500000215,57.87147039999945,57.889476999998806,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lllll,001,2021_Aug_05_0024,FigureTest,2021.2.1,59.819953902596,
PreCond1\CS+.PNG,-0.1,-0.1,,,,0,5,5,4,,,,,,,,,,,,,,,,,60.154219599999124,None,60.154219599999124,61.139607799999794,61.15533949999917,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lllll,001,2021_Aug_05_0024,FigureTest,2021.2.1,59.819953902596,
PreCond1\CS+.PNG,-0.1,-0.1,,,,0,6,6,2,,,,,,,,,,,,,,,,,63.22070429999985,None,63.22070429999985,64.2040266999993,64.22031620000052,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lllll,001,2021_Aug_05_0024,FigureTest,2021.2.1,59.819953902596,
PreCond1\CS+.PNG,-0.1,-0.1,,,,0,7,7,0,,,,,,,,,,,,,,,,,66.42059169999993,None,66.42059169999993,67.40457229999993,67.42058290000023,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lllll,001,2021_Aug_05_0024,FigureTest,2021.2.1,59.819953902596,
PreCond1\CS-.PNG,0.4,0.1,,,,0,8,8,9,,,,,,,,,,,,,,,,,69.77014959999906,None,69.77014959999906,70.75357239999903,70.77017080000041,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lllll,001,2021_Aug_05_0024,FigureTest,2021.2.1,59.819953902596,
