PicFileName,TrgCol,TrgCol2,CSName,UCSName,SoundName,stimType,PreConditiong.thisRepN,PreConditiong.thisTrialN,PreConditiong.thisN,PreConditiong.thisIndex,Conditioning.thisRepN,Conditioning.thisTrialN,Conditioning.thisN,Conditioning.thisIndex,InstrBkg.started,InstrBkg.stopped,TagFig.started,TagFig.stopped,InstrKeyResp.keys,InstrKeyResp.rt,InstrKeyResp.started,InstrKeyResp.stopped,precondBkg.started,precondBkg.stopped,imagePreCond.started,imagePreCond.stopped,BlankBkg.started,BlankBkg.stopped,InstrBkg2.started,InstrBkg2.stopped,TagFig2.started,TagFig2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,CSBkg.started,CSBkg.stopped,CS_image.started,CS_image.stopped,UCSBkg.started,UCSBkg.stopped,UCS_image.started,UCS_image.stopped,sound_1.started,sound_1.stopped,BlankBkg2.started,BlankBkg2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,41.273143000000346,None,41.273143000000346,None,space,1.5473087999998825,41.273143000000346,None,,,,,,,,,,,,,,,,,,,,,,,,,,,qqqq,001,2021_Aug_04_2351,FigureTest,2021.2.1,60.05753511867596,
PreCond1\CS+.PNG,-0.1,-0.1,,,,,0,0,0,0,,,,,,,,,,,,,42.85244590000002,None,42.85244590000002,43.84681410000121,43.86483080000107,None,,,,,,,,,,,,,,,,,,,,,qqqq,001,2021_Aug_04_2351,FigureTest,2021.2.1,60.05753511867596,
PreCond1\CS-.PNG,0.4,0.1,,,,,0,1,1,9,,,,,,,,,,,,,46.09766440000021,None,46.09766440000021,47.07963960000052,47.113108999999895,None,,,,,,,,,,,,,,,,,,,,,qqqq,001,2021_Aug_04_2351,FigureTest,2021.2.1,60.05753511867596,
PreCond1\CS+.PNG,-0.1,-0.1,,,,,0,2,2,4,,,,,,,,,,,,,49.13015590000032,None,49.13015590000032,50.112736200000654,50.12933300000077,None,,,,,,,,,,,,,,,,,,,,,qqqq,001,2021_Aug_04_2351,FigureTest,2021.2.1,60.05753511867596,
PreCond1\CS-.PNG,0.4,0.1,,,,,0,3,3,6,,,,,,,,,,,,,52.512052300000505,None,52.512052300000505,53.496961900000315,53.5127175000016,None,,,,,,,,,,,,,,,,,,,,,qqqq,001,2021_Aug_04_2351,FigureTest,2021.2.1,60.05753511867596,
PreCond1\CS+.PNG,-0.1,-0.1,,,,,0,4,4,1,,,,,,,,,,,,,55.73264610000115,None,55.73264610000115,56.71205000000009,56.74558150000121,None,,,,,,,,,,,,,,,,,,,,,qqqq,001,2021_Aug_04_2351,FigureTest,2021.2.1,60.05753511867596,
PreCond1\CS+.PNG,-0.1,-0.1,,,,,0,5,5,3,,,,,,,,,,,,,58.91200949999984,None,58.91200949999984,59.894892500000424,59.91172999999981,None,,,,,,,,,,,,,,,,,,,,,qqqq,001,2021_Aug_04_2351,FigureTest,2021.2.1,60.05753511867596,
PreCond1\CS-.PNG,0.4,0.1,,,,,0,6,6,5,,,,,,,,,,,,,62.12835140000061,None,62.12835140000061,63.11184730000059,63.128453100000115,None,,,,,,,,,,,,,,,,,,,,,qqqq,001,2021_Aug_04_2351,FigureTest,2021.2.1,60.05753511867596,
PreCond1\CS-.PNG,0.4,0.1,,,,,0,7,7,7,,,,,,,,,,,,,65.5287984000006,None,65.5287984000006,66.51376680000067,66.52819350000027,None,,,,,,,,,,,,,,,,,,,,,qqqq,001,2021_Aug_04_2351,FigureTest,2021.2.1,60.05753511867596,
PreCond1\CS-.PNG,0.4,0.1,,,,,0,8,8,8,,,,,,,,,,,,,68.72814400000061,None,68.72814400000061,69.71111470000142,69.7274522000007,None,,,,,,,,,,,,,,,,,,,,,qqqq,001,2021_Aug_04_2351,FigureTest,2021.2.1,60.05753511867596,
PreCond1\CS+.PNG,-0.1,-0.1,,,,,0,9,9,2,,,,,,,,,,,,,71.96141990000069,None,71.96141990000069,72.94433990000107,72.9609158000003,None,,,,,,,,,,,,,,,,,,,,,qqqq,001,2021_Aug_04_2351,FigureTest,2021.2.1,60.05753511867596,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.22535860000062,None,75.22535860000062,None,space,12.568985699999757,75.22535860000062,None,,,,,,,,,,,,,qqqq,001,2021_Aug_04_2351,FigureTest,2021.2.1,60.05753511867596,
,0.4,0.1,Cond1\CS-.PNG,Cond1\blank.png,Sound\1.wav,visual,,,,,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,,87.81673370000135,None,87.81673370000135,None,None,None,None,None,None,None,93.50126430000091,None,qqqq,001,2021_Aug_04_2351,FigureTest,2021.2.1,60.05753511867596,
,-0.1,-0.1,Cond1\CS+.PNG,Cond1\UCS.PNG,Sound\2.wav,audio,,,,,0,1,1,4,,,,,,,,,,,,,,,,,,,,,,,95.75859010000022,None,95.75859010000022,None,97.85432290000062,None,97.85432290000062,None,97.85986665000036,None,98.81050350000078,None,qqqq,001,2021_Aug_04_2351,FigureTest,2021.2.1,60.05753511867596,
,0.4,0.1,Cond1\CS-.PNG,Cond1\blank.png,Sound\1.wav,visual,,,,,0,2,2,17,,,,,,,,,,,,,,,,,,,,,,,101.25797720000082,None,101.25797720000082,None,None,None,None,None,None,None,106.89322350000111,None,qqqq,001,2021_Aug_04_2351,FigureTest,2021.2.1,60.05753511867596,
,-0.1,-0.1,Cond1\CS+.PNG,Cond1\UCS.PNG,Sound\2.wav,audio,,,,,0,3,3,5,,,,,,,,,,,,,,,,,,,,,,,109.12485610000113,None,109.12485610000113,None,111.22573970000121,None,111.22573970000121,None,111.22625185000123,None,112.16630600000099,None,qqqq,001,2021_Aug_04_2351,FigureTest,2021.2.1,60.05753511867596,
,-0.1,-0.1,Cond1\CS+.PNG,Cond1\UCS.PNG,Sound\2.wav,audio,,,,,0,4,4,2,,,,,,,,,,,,,,,,,,,,,,,114.37394360000144,None,114.37394360000144,None,116.37351800000033,None,116.37351800000033,None,116.37438585000072,None,117.39216149999993,None,qqqq,001,2021_Aug_04_2351,FigureTest,2021.2.1,60.05753511867596,
,0.4,0.1,Cond1\CS-.PNG,Cond1\blank.png,Sound\1.wav,visual,,,,,0,5,5,19,,,,,,,,,,,,,,,,,,,,,,,119.52381120000064,None,119.52381120000064,None,None,None,None,None,None,None,125.16172460000053,None,qqqq,001,2021_Aug_04_2351,FigureTest,2021.2.1,60.05753511867596,
,0.4,0.1,Cond1\CS-.PNG,Cond1\blank.png,Sound\1.wav,visual,,,,,0,6,6,18,,,,,,,,,,,,,,,,,,,,,,,127.44704439999987,None,127.44704439999987,None,130.4895043000015,None,130.4895043000015,None,130.42742140000408,None,130.55100180000045,None,qqqq,001,2021_Aug_04_2351,FigureTest,2021.2.1,60.05753511867596,
,0,0,Cond1\CS+.PNG,Cond1\blank.png,Sound\1.wav,visual,,,,,0,7,7,1,,,,,,,,,,,,,,,,,,,,,,,132.92589640000006,None,132.92589640000006,None,135.96194130000003,None,135.96194130000003,None,135.9075274500041,None,135.983126000001,None,qqqq,001,2021_Aug_04_2351,FigureTest,2021.2.1,60.05753511867596,
,0.4,0.1,Cond1\CS-.PNG,Cond1\blank.png,Sound\1.wav,visual,,,,,0,8,8,13,,,,,,,,,,,,,,,,,,,,,,,138.09994240000015,None,138.09994240000015,None,141.14635439999984,None,141.14635439999984,None,141.0826224500046,None,141.17046290000144,None,qqqq,001,2021_Aug_04_2351,FigureTest,2021.2.1,60.05753511867596,
,-0.1,-0.1,Cond1\CS+.PNG,Cond1\UCS.PNG,Sound\2.wav,audio,,,,,0,9,9,8,,,,,,,,,,,,,,,,,,,,,,,143.4508364000012,None,143.4508364000012,None,145.54810540000108,None,145.54810540000108,None,145.55257595000165,None,146.47361720000117,None,qqqq,001,2021_Aug_04_2351,FigureTest,2021.2.1,60.05753511867596,
,0.4,0.1,Cond1\CS-.PNG,Cond1\blank.png,Sound\1.wav,visual,,,,,0,10,10,12,,,,,,,,,,,,,,,,,,,,,,,148.63432319999993,None,148.63432319999993,None,None,None,None,None,None,None,154.30092110000078,None,qqqq,001,2021_Aug_04_2351,FigureTest,2021.2.1,60.05753511867596,
,0.4,0.1,Cond1\CS-.PNG,Cond1\blank.png,Sound\1.wav,visual,,,,,0,11,11,15,,,,,,,,,,,,,,,,,,,,,,,156.67980930000158,None,156.67980930000158,None,None,None,None,None,None,None,159.7285126000006,None,qqqq,001,2021_Aug_04_2351,FigureTest,2021.2.1,60.05753511867596,
,-0.1,-0.1,Cond1\CS+.PNG,Cond1\UCS.PNG,Sound\2.wav,audio,,,,,0,12,12,3,,,,,,,,,,,,,,,,,,,,,,,162.0159179000002,None,162.0159179000002,None,164.1129658000009,None,164.1129658000009,None,164.11783645000122,None,165.04974920000132,None,qqqq,001,2021_Aug_04_2351,FigureTest,2021.2.1,60.05753511867596,
