PicFileName,TrgCol,TrgCol2,CSName,UCSName,SoundName,stimType,PreConditiong.thisRepN,PreConditiong.thisTrialN,PreConditiong.thisN,PreConditiong.thisIndex,Conditioning.thisRepN,Conditioning.thisTrialN,Conditioning.thisN,Conditioning.thisIndex,InstrBkg.started,InstrBkg.stopped,TagFig.started,TagFig.stopped,InstrKeyResp.keys,InstrKeyResp.rt,InstrKeyResp.started,InstrKeyResp.stopped,precondBkg.started,precondBkg.stopped,imagePreCond.started,imagePreCond.stopped,BlankBkg.started,BlankBkg.stopped,InstrBkg2.started,InstrBkg2.stopped,TagFig2.started,TagFig2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,CSBkg.started,CSBkg.stopped,CS_image.started,CS_image.stopped,UCSBkg.started,UCSBkg.stopped,UCS_image.started,UCS_image.stopped,sound_1.started,sound_1.stopped,BlankBkg2.started,BlankBkg2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,55.88918980000017,None,55.88918980000017,None,space,51.38270469999952,55.88918980000017,None,,,,,,,,,,,,,,,,,,,,,,,,,,,qqqqq,001,2021_Aug_04_2347,FigureTest,2021.2.1,59.870703229270404,
PreCond1\CS-.PNG,0.4,0.1,,,,,0,0,0,5,,,,,,,,,,,,,107.29415990000052,None,107.29415990000052,108.29149150000012,108.3081187000007,None,,,,,,,,,,,,,,,,,,,,,qqqqq,001,2021_Aug_04_2347,FigureTest,2021.2.1,59.870703229270404,
PreCond1\CS+.PNG,-0.1,-0.1,,,,,0,1,1,0,,,,,,,,,,,,,110.55854180000097,None,110.55854180000097,111.54121810000106,111.55786090000038,None,,,,,,,,,,,,,,,,,,,,,qqqqq,001,2021_Aug_04_2347,FigureTest,2021.2.1,59.870703229270404,
PreCond1\CS+.PNG,-0.1,-0.1,,,,,0,2,2,2,,,,,,,,,,,,,113.82376140000088,None,113.82376140000088,114.80746739999995,114.82498490000035,None,,,,,,,,,,,,,,,,,,,,,qqqqq,001,2021_Aug_04_2347,FigureTest,2021.2.1,59.870703229270404,
PreCond1\CS-.PNG,0.4,0.1,,,,,0,3,3,7,,,,,,,,,,,,,117.1954063000012,None,117.1954063000012,118.19030229999953,118.20714130000124,None,,,,,,,,,,,,,,,,,,,,,qqqqq,001,2021_Aug_04_2347,FigureTest,2021.2.1,59.870703229270404,
PreCond1\CS+.PNG,-0.1,-0.1,,,,,0,4,4,3,,,,,,,,,,,,,120.34238150000056,None,120.34238150000056,121.32380449999982,121.35648860000038,None,,,,,,,,,,,,,,,,,,,,,qqqqq,001,2021_Aug_04_2347,FigureTest,2021.2.1,59.870703229270404,
PreCond1\CS+.PNG,-0.1,-0.1,,,,,0,5,5,1,,,,,,,,,,,,,123.55771050000112,None,123.55771050000112,124.53974469999957,124.57325390000005,None,,,,,,,,,,,,,,,,,,,,,qqqqq,001,2021_Aug_04_2347,FigureTest,2021.2.1,59.870703229270404,
PreCond1\CS-.PNG,0.4,0.1,,,,,0,6,6,9,,,,,,,,,,,,,126.80618890000005,None,126.80618890000005,127.78951550000056,127.80622729999959,None,,,,,,,,,,,,,,,,,,,,,qqqqq,001,2021_Aug_04_2347,FigureTest,2021.2.1,59.870703229270404,
PreCond1\CS-.PNG,0.4,0.1,,,,,0,7,7,6,,,,,,,,,,,,,130.00651130000006,None,130.00651130000006,130.98924380000062,131.00816190000114,None,,,,,,,,,,,,,,,,,,,,,qqqqq,001,2021_Aug_04_2347,FigureTest,2021.2.1,59.870703229270404,
PreCond1\CS-.PNG,0.4,0.1,,,,,0,8,8,8,,,,,,,,,,,,,133.27247510000052,None,133.27247510000052,134.25798020000002,134.27294470000015,None,,,,,,,,,,,,,,,,,,,,,qqqqq,001,2021_Aug_04_2347,FigureTest,2021.2.1,59.870703229270404,
PreCond1\CS+.PNG,-0.1,-0.1,,,,,0,9,9,4,,,,,,,,,,,,,136.32178530000056,None,136.32178530000056,137.30541730000004,137.321887600001,None,,,,,,,,,,,,,,,,,,,,,qqqqq,001,2021_Aug_04_2347,FigureTest,2021.2.1,59.870703229270404,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.60859340000025,None,139.60859340000025,None,space,9.107998999999836,139.60859340000025,None,,,,,,,,,,,,,qqqqq,001,2021_Aug_04_2347,FigureTest,2021.2.1,59.870703229270404,
,0.4,0.1,Cond1\CS-.PNG,Cond1\blank.png,Sound\1.wav,visual,,,,,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,148.76138230000106,None,148.76138230000106,None,None,None,None,None,None,None,154.4964755000001,None,qqqqq,001,2021_Aug_04_2347,FigureTest,2021.2.1,59.870703229270404,
,-0.1,-0.1,Cond1\CS+.PNG,Cond1\UCS.PNG,Sound\2.wav,audio,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,156.62002419999953,None,156.62002419999953,None,158.72105329999977,None,158.72105329999977,None,158.71969048000102,None,159.6599210000004,None,qqqqq,001,2021_Aug_04_2347,FigureTest,2021.2.1,59.870703229270404,
,-0.1,-0.1,Cond1\CS+.PNG,Cond1\UCS.PNG,Sound\2.wav,audio,,,,,0,2,2,6,,,,,,,,,,,,,,,,,,,,,,,161.83573960000103,None,161.83573960000103,None,163.8358059000002,None,163.8358059000002,None,163.83622653999956,None,164.8820727000002,None,qqqqq,001,2021_Aug_04_2347,FigureTest,2021.2.1,59.870703229270404,
,0,0,Cond1\CS+.PNG,Cond1\blank.png,Sound\1.wav,visual,,,,,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,167.23605380000117,None,167.23605380000117,None,None,None,None,None,None,None,172.93834229999993,None,qqqqq,001,2021_Aug_04_2347,FigureTest,2021.2.1,59.870703229270404,
,0.4,0.1,Cond1\CS-.PNG,Cond1\blank.png,Sound\1.wav,visual,,,,,0,4,4,17,,,,,,,,,,,,,,,,,,,,,,,175.33246820000022,None,175.33246820000022,None,178.38684430000103,None,178.38684430000103,None,178.31713929999933,None,178.40892090000125,None,qqqqq,001,2021_Aug_04_2347,FigureTest,2021.2.1,59.870703229270404,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.7410517999997,None,180.7410517999997,None,182.8377689000008,None,182.8377689000008,None,182.84134807999982,None,,,,,,,,,
